model,family,org,arch_class,training_regime,thinking_capable,tools_capable,native_ctx,license,base_lineage,param_count,param_size,quant,size_gb,is_moe,bracket
granite4:micro,granite4,IBM,hybrid-ssm,instruct,False,True,131072.0,Apache-2.0,n/a,3402836480,3.4B,Q4_K_M,2.6,False,2-3B
granite4:tiny-h,granite4,IBM,hybrid-ssm,instruct,False,True,1048576.0,Apache-2.0,n/a,6939037248,6.9B,Q4_K_M,4.43,True,4-5GB
qwen3:4b-instruct-2507-q8_0,qwen3,Alibaba/Qwen,dense,instruct,True,True,262144.0,Apache-2.0,n/a,4022468096,4.0B,Q8_0,5.1,False,4-5GB
mistral:7b-instruct-q4_K_M,mistral,Mistral AI,dense,instruct,False,False,32768.0,Apache-2.0,n/a,7241732096,7B,Q4_K_M,5.18,False,4-5GB
deepseek-r1:7b,deepseek-r1,DeepSeek,dense,reasoning,True,True,131072.0,MIT,distilled from Qwen2.5,7615616512,7.6B,Q4_K_M,5.22,False,4-5GB
qwen3:1.7b,qwen3,Alibaba/Qwen,dense,instruct,True,True,40960.0,Apache-2.0,n/a,2031739904,2.0B,Q4_K_M,1.97,False,1-2B
qwen2.5:7b,qwen2.5,Alibaba/Qwen,dense,instruct,False,True,32768.0,Apache-2.0,n/a,7615616512,7.6B,Q4_K_M,5.22,False,4-5GB
gemma2:2b,gemma2,Google,dense,instruct,False,False,8192.0,Gemma,n/a,2614341888,2.6B,Q4_0,1.96,False,2-3B
qwen3:4b-instruct-2507-q4_K_M,qwen3,Alibaba/Qwen,dense,instruct,True,True,262144.0,Apache-2.0,n/a,4022468096,4.0B,Q4_K_M,3.32,False,3-4B
stablelm2:1.6b,stablelm2,Stability AI,dense,instruct,False,False,4096.0,STABILITY-Community(check),n/a,1644515328,2B,Q4_0,1.46,False,1-2B
qwen2.5:3b,qwen2.5,Alibaba/Qwen,dense,instruct,False,True,32768.0,Apache-2.0,n/a,3085938688,3.1B,Q4_K_M,2.26,False,2-3B
gemma3:4b-it-qat,gemma3,Google,dense,instruct,False,False,131072.0,Gemma,n/a,4300079472,4.3B,Q4_0,3.6,False,3-4B
qwen2.5:0.5b,qwen2.5,Alibaba/Qwen,dense,instruct,False,True,32768.0,Apache-2.0,n/a,494032768,494.03M,Q4_K_M,0.53,False,0-1B
qwen2.5:1.5b,qwen2.5,Alibaba/Qwen,dense,instruct,False,True,32768.0,Apache-2.0,n/a,1543714304,1.5B,Q4_K_M,1.25,False,1-2B
qwen3:0.6b,qwen3,Alibaba/Qwen,dense,instruct,True,True,40960.0,Apache-2.0,n/a,751632384,751.63M,Q4_K_M,1.09,False,0-1B
smollm2:1.7b,smollm2,Hugging Face,dense,instruct,False,True,8192.0,Apache-2.0,n/a,1711376384,1.7B,Q8_0,2.82,False,1-2B
qwen3:4b,qwen3,Alibaba/Qwen,dense,instruct,True,True,262144.0,Apache-2.0,n/a,4022468096,4.0B,Q4_K_M,3.32,False,3-4B
ministral-3:3b,ministral-3,Mistral AI,dense,instruct,False,True,262144.0,Mistral-Research(check),n/a,3849090048,3.8B,Q4_K_M,2.85,False,2-3B
phi4-mini,phi4-mini,Microsoft,dense,instruct,False,True,131072.0,MIT,n/a,3836021856,3.8B,Q4_K_M,,False,3-4B
granite4:1b-h,granite4,IBM,hybrid-ssm,instruct,False,True,1048576.0,Apache-2.0,n/a,1461538368,1.5B,Q8_0,1.75,False,0-1B
deepseek-r1:1.5b,deepseek-r1,DeepSeek,dense,reasoning,True,True,131072.0,MIT,distilled from Qwen2.5,1777088000,1.8B,Q4_K_M,1.38,False,1-2B
llama3.2:1b,llama3.2,Meta,dense,instruct,False,True,131072.0,Llama-3.2-Community,n/a,1235814432,1.2B,Q8_0,1.6,False,0-1B
llama3.2:3b,llama3.2,Meta,dense,instruct,False,True,131072.0,Llama-3.2-Community,n/a,3212749888,3.2B,Q4_K_M,2.67,False,3-4B
smollm2:360m,smollm2,Hugging Face,dense,instruct,False,False,8192.0,Apache-2.0,n/a,361821120,361.82M,F16,0.96,False,0-1B
deepseek-coder:1.3b,deepseek-coder,DeepSeek,dense,code/math,False,False,,deepseek-license,n/a,1346471936,1B,Q4_0,1.74,False,1-2B
deepseek-coder:1.3b-instruct-q8_0,deepseek-coder,DeepSeek,dense,code/math,False,False,,deepseek-license,n/a,1346471936,1B,Q8_0,2.4,False,1-2B
