model,waves,bracket,has_data,family,org,arch_class,quant,param_size,size_gb,is_moe,native_ctx,license,training_regime,thinking_capable,tools_capable,provenance,source_file_count
gemma3:1b,w2,0-1B,wave2,gemma3,Google,dense,Q4_K_M,999.89M,0.95,False,,Gemma,instruct,False,False,ollama-library,1
gemma3:1b-it-q8_0,w2,0-1B,wave2,gemma3,Google,dense,Q8_0,999.89M,1.21,False,,Gemma,instruct,False,False,ollama-library,1
gemma3:1b-it-qat,w2,0-1B,wave2,gemma3,Google,dense,Q4_0,999.89M,1.14,False,,Gemma,instruct,False,False,ollama-library,1
gemma3:270m,w3,0-1B,no,gemma,,,,,,,,,,,,ollama-library,1
gemma3:270m-it-qat,w3,0-1B,no,gemma,,,,,,,,,,,,ollama-library,1
granite3.1-moe:1b,w2;w3,0-1B,wave2,granite,,,,,,,,,,,,ollama-library,2
granite3.1-moe:1b-instruct-q8_0,w2;w3,0-1B,wave2,granite,,,q8_0,,,,,,,,,ollama-library,2
granite4:1b-h,w1,0-1B,det;var,granite4,IBM,hybrid-ssm,Q8_0,1.5B,1.75,False,1048576.0,Apache-2.0,instruct,False,True,ollama-library,1
granite4:350m,w3,0-1B,no,granite,,,,,,,,,,,,ollama-library,1
granite4:350m-bf16,w3,0-1B,no,granite,,,bf16,,,,,,,,,ollama-library,1
granite4:350m-h,w3,0-1B,no,granite,,,,,,,,,,,,ollama-library,1
hf.co/LiquidAI/LFM2-350M-GGUF:Q4_K_M,w3,0-1B,no,LFM,,,,,,,,,,,,hf:LiquidAI,1
hf.co/LiquidAI/LFM2-700M-GGUF:Q4_K_M,w3,0-1B,no,LFM,,,,,,,,,,,,hf:LiquidAI,1
hf.co/allenai/OLMo-2-0425-1B-Instruct-GGUF:Q4_K_M,w3,0-1B,no,OLMo,,,,,,,,,,,,hf:allenai,1
hf.co/google/gemma-3-1b-it-qat-q4_0-gguf:Q4_0,w2;w3,0-1B,no,gemma,,,q4_0,,,,,,,,,hf:google,2
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,w2,0-1B,wave2,llama3.2,Meta,dense,Q4_K_M,1.24B,1.09,False,,Llama-3.2-Community,instruct,False,False,hf:unsloth,1
llama3.2:1b,w1,0-1B,det;var,llama3.2,Meta,dense,Q8_0,1.2B,1.6,False,131072.0,Llama-3.2-Community,instruct,False,True,ollama-library,1
llama3.2:1b-instruct-q8_0,w2,0-1B,wave2,llama3.2,Meta,dense,Q8_0,1.2B,1.6,False,,Llama-3.2-Community,instruct,False,False,ollama-library,1
qwen2.5:0.5b,w1,0-1B,det;var,qwen2.5,Alibaba/Qwen,dense,Q4_K_M,494.03M,0.53,False,32768.0,Apache-2.0,instruct,False,True,ollama-library,1
qwen2.5:0.5b-instruct-q4_K_M,w2,0-1B,wave2,qwen2.5,Alibaba/Qwen,dense,Q4_K_M,494.03M,0.53,False,,Apache-2.0,instruct,False,False,ollama-library,1
qwen2.5:0.5b-instruct-q8_0,w2,0-1B,wave2,qwen2.5,Alibaba/Qwen,dense,Q8_0,494.03M,0.67,False,,Apache-2.0,instruct,False,False,ollama-library,1
qwen2:0.5b-instruct-q8_0,w2,0-1B,wave2,qwen2,Alibaba/Qwen,dense,Q8_0,494.03M,0.67,False,32768.0,Apache-2.0,instruct,False,False,ollama-library,1
qwen3:0.6b,w1,0-1B,det;var,qwen3,Alibaba/Qwen,dense,Q4_K_M,751.63M,1.09,False,40960.0,Apache-2.0,instruct,True,True,ollama-library,1
qwen3:0.6b-fp16,w2,0-1B,wave2,qwen3,Alibaba/Qwen,dense,F16,751.63M,2.07,False,40960.0,Apache-2.0,instruct,True,True,ollama-library,1
qwen3:0.6b-q8_0,w2,0-1B,wave2,qwen3,Alibaba/Qwen,dense,Q8_0,751.63M,1.4,False,,Apache-2.0,instruct,False,False,ollama-library,1
