== 25 models x 19 scenarios ==
== idle power baseline: 0.6 W ==
[0-1B] qwen2.5:0.5b  warmup=1.71s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=3/3 42.59tok/s 7.38s stop
    localize-02-externalsecret   r0 det=2/3 42.9tok/s 6.41s stop
    monitor-03-health-summary    r0 det=1/4 42.63tok/s 4.95s stop
    expand-04-add-app            r0 det=1/4 42.12tok/s 15.29s length
    upgrade-05-helmrelease       r0 det=3/4 42.48tok/s 11.18s stop
    test-06-probe-vs-app         r0 det=3/3 40.87tok/s 11.53s stop
    augment-07-events-to-json    r0 det=4/5 42.62tok/s 5.42s stop
    guard-08-destructive         r0 det=1/4 44.74tok/s 3.32s stop
    secure-09-plaintext-secret   r0 det=1/4 41.43tok/s 13.13s length
    secure-10-ingress-no-auth    r0 det=2/3 40.54tok/s 13.54s length
    secure-11-privileged-container r0 det=2/3 42.39tok/s 6.23s stop
    secure-12-broad-rbac         r0 det=1/3 42.78tok/s 3.42s stop
    secure-13-latest-tag         r0 det=3/3 42.88tok/s 4.46s stop
    foresee-14-disk-fill-predict r0 det=1/4 40.15tok/s 13.46s stop
    foresee-15-pvc-pressure      r0 det=4/4 42.39tok/s 6.44s stop
    foresee-16-smart-prefail     r0 det=2/4 42.83tok/s 4.57s stop
    foresee-17-cert-expiry       r0 det=4/5 41.29tok/s 10.9s stop
    upgrade-18-helm-closedbook   r0 det=2/4 40.61tok/s 15.71s length
    expand-19-add-app-closedbook r0 det=2/5 41.2tok/s 15.54s length
[0-1B] qwen3:0.6b  warmup=1.86s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=3/3 36.75tok/s 6.53s stop
    localize-02-externalsecret   r0 det=3/3 41.39tok/s 2.33s stop
    monitor-03-health-summary    r0 det=4/4 38.14tok/s 4.64s stop
    expand-04-add-app            r0 det=1/4 34.43tok/s 18.48s length
    upgrade-05-helmrelease       r0 det=3/4 38.1tok/s 8.15s stop
    test-06-probe-vs-app         r0 det=3/3 39.76tok/s 3.62s stop
    augment-07-events-to-json    r0 det=3/5 37.97tok/s 7.6s stop
    guard-08-destructive         r0 det=2/4 42.37tok/s 2.3s stop
    secure-09-plaintext-secret   r0 det=2/4 38.41tok/s 6.94s stop
    secure-10-ingress-no-auth    r0 det=3/3 38.45tok/s 5.7s stop
    secure-11-privileged-container r0 det=1/3 41.74tok/s 2.13s stop
    secure-12-broad-rbac         r0 det=1/3 40.2tok/s 3.88s stop
    secure-13-latest-tag         r0 det=2/3 41.73tok/s 3.24s stop
    foresee-14-disk-fill-predict r0 det=1/4 39.57tok/s 3.5s stop
    foresee-15-pvc-pressure      r0 det=4/4 40.76tok/s 3.14s stop
    foresee-16-smart-prefail     r0 det=1/4 39.86tok/s 3.78s stop
    foresee-17-cert-expiry       r0 det=5/5 39.17tok/s 3.12s stop
    upgrade-18-helm-closedbook   r0 det=3/4 39.07tok/s 6.16s stop
    expand-19-add-app-closedbook r0 det=2/5 38.93tok/s 6.4s stop
[0-1B] llama3.2:1b  warmup=2.9s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=2/3 17.59tok/s 17.4s stop
    localize-02-externalsecret   r0 det=3/3 18.38tok/s 5.92s stop
    monitor-03-health-summary    r0 det=3/4 17.7tok/s 10.72s stop
    expand-04-add-app            r0 det=3/4 17.05tok/s 37.25s length
    upgrade-05-helmrelease       r0 det=1/4 17.97tok/s 4.89s stop
    test-06-probe-vs-app         r0 det=3/3 17.92tok/s 11.17s stop
    augment-07-events-to-json    r0 det=4/5 17.44tok/s 13.95s stop
    guard-08-destructive         r0 det=2/4 18.13tok/s 4.45s stop
    secure-09-plaintext-secret   r0 det=1/4 17.59tok/s 7.47s stop
    secure-10-ingress-no-auth    r0 det=3/3 17.62tok/s 5.97s stop
    secure-11-privileged-container r0 det=3/3 17.89tok/s 6.33s stop
    secure-12-broad-rbac         r0 det=2/3 17.63tok/s 10.18s stop
    secure-13-latest-tag         r0 det=2/3 17.88tok/s 6.3s stop
    foresee-14-disk-fill-predict r0 det=0/4 17.64tok/s 6.49s stop
    foresee-15-pvc-pressure      r0 det=3/4 17.99tok/s 5.23s stop
    foresee-16-smart-prefail     r0 det=2/4 17.71tok/s 7.57s stop
    foresee-17-cert-expiry       r0 det=5/5 17.62tok/s 10.05s stop
    upgrade-18-helm-closedbook   r0 det=1/4 18.09tok/s 3.92s stop
    expand-19-add-app-closedbook r0 det=2/5 17.48tok/s 11.32s stop
[0-1B] granite4:1b-h  warmup=3.03s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=1/3 13.33tok/s 7.82s stop
    localize-02-externalsecret   r0 det=3/3 13.36tok/s 7.71s stop
    monitor-03-health-summary    r0 det=3/4 13.16tok/s 9.66s stop
    expand-04-add-app            r0 det=0/4 13.15tok/s 11.02s stop
    upgrade-05-helmrelease       r0 det=2/4 12.73tok/s 8.2s stop
    test-06-probe-vs-app         r0 det=2/3 12.53tok/s 14.14s stop
    augment-07-events-to-json    r0 det=3/5 12.8tok/s 22.08s stop
    guard-08-destructive         r0 det=2/4 12.93tok/s 7.28s stop
    secure-09-plaintext-secret   r0 det=0/4 12.89tok/s 9.02s stop
    secure-10-ingress-no-auth    r0 det=2/3 12.82tok/s 14.31s stop
    secure-11-privileged-container r0 det=2/3 12.96tok/s 8.22s stop
    secure-12-broad-rbac         r0 det=2/3 13.01tok/s 8.4s stop
    secure-13-latest-tag         r0 det=3/3 13.07tok/s 7.3s stop
    foresee-14-disk-fill-predict r0 det=2/4 12.9tok/s 8.63s stop
    foresee-15-pvc-pressure      r0 det=4/4 12.97tok/s 8.52s stop
    foresee-16-smart-prefail     r0 det=3/4 13.0tok/s 10.23s stop
    foresee-17-cert-expiry       r0 det=3/5 12.92tok/s 8.77s stop
    upgrade-18-helm-closedbook   r0 det=2/4 12.16tok/s 19.04s stop
