model,bracket,rows,dnf,dnf_rate,length,length_rate,dnf_partial_outputs,dnf_median_output_chars,dnf_mean_det_score
exaone-deep:7.8b,4-5GB,100,87,87.0,12,12.0,87,1890,0.76
falcon3:7b,4-5GB,100,25,25.0,3,3.0,25,1949,0.817
internlm2:7b,4-5GB,100,24,24.0,1,1.0,24,2065.0,0.802
granite3.3:8b,4-5GB,100,14,14.0,0,0.0,14,1938.0,0.891
phi3.5:3.8b-mini-instruct-q8_0,3-4B,100,13,13.0,7,7.0,13,2371,0.754
command-r7b:latest,4-5GB,100,10,10.0,0,0.0,10,1296.5,0.72
olmo2:7b,4-5GB,100,9,9.0,0,0.0,9,2180,0.733
qwen2.5:7b,4-5GB,100,6,6.0,0,0.0,6,1844.5,0.878
aya-expanse:8b,4-5GB,100,3,3.0,0,0.0,3,1378,0.822
phi3:3.8b-mini-128k-instruct-q8_0,3-4B,100,3,3.0,2,2.0,3,2029,0.783
phi4-mini-reasoning,3-4B,100,3,3.0,92,92.0,3,2533,1.0
starcoder2:3b-q8_0,3-4B,100,2,2.0,51,51.0,2,2324.0,0.734
codegemma:2b-code-q6_K,2-3B,100,1,1.0,11,11.0,1,463,0.25
exaone3.5:7.8b,4-5GB,100,1,1.0,0,0.0,1,1867,1.0
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,3-4B,100,1,1.0,93,93.0,1,3114,0.8
hf.co/openbmb/MiniCPM3-4B-GGUF:Q4_K_M,3-4B,100,1,1.0,0,0.0,1,388,0.8
qwen2.5-coder:3b-instruct-q8_0,2-3B,100,1,1.0,2,2.0,1,2792,0.8
qwen3:4b-thinking-2507-q8_0,3-4B,100,1,1.0,99,99.0,1,2425,1.0
qwen3:8b,4-5GB,100,1,1.0,0,0.0,1,1341,0.8
sailor2:1b,1-2B,100,1,1.0,7,7.0,1,1279,0.6
starcoder2:3b,2-3B,100,1,1.0,57,57.0,1,62,0.0
codegemma:2b,2-3B,100,0,0.0,51,51.0,0,,
cogito:3b,3-4B,100,0,0.0,0,0.0,0,,
cogito:3b-v1-preview-llama-q8_0,3-4B,100,0,0.0,0,0.0,0,,
cogito:8b,4-5GB,100,0,0.0,0,0.0,0,,
deepseek-coder:1.3b,1-2B,100,0,0.0,37,37.0,0,,
deepseek-coder:1.3b-instruct-q8_0,1-2B,100,0,0.0,45,45.0,0,,
falcon3:1b,1-2B,100,0,0.0,44,44.0,0,,
falcon3:1b-instruct-q8_0,1-2B,100,0,0.0,44,44.0,0,,
falcon3:3b,3-4B,100,0,0.0,2,2.0,0,,
falcon3:3b-instruct-q4_K_M,3-4B,100,0,0.0,2,2.0,0,,
falcon3:3b-instruct-q8_0,3-4B,100,0,0.0,1,1.0,0,,
gemma2:2b,2-3B,100,0,0.0,0,0.0,0,,
gemma2:2b-instruct-q4_K_M,2-3B,100,0,0.0,0,0.0,0,,
gemma2:2b-instruct-q8_0,2-3B,100,0,0.0,0,0.0,0,,
gemma3:1b,0-1B,100,0,0.0,0,0.0,0,,
gemma3:1b-it-q8_0,0-1B,100,0,0.0,0,0.0,0,,
gemma3:1b-it-qat,0-1B,100,0,0.0,0,0.0,0,,
gemma3:270m,0-1B,100,0,0.0,0,0.0,0,,
gemma3:270m-it-qat,0-1B,100,0,0.0,9,9.0,0,,
gemma3:4b,3-4B,100,0,0.0,0,0.0,0,,
gemma3:4b-it-q4_K_M,3-4B,100,0,0.0,0,0.0,0,,
gemma3:4b-it-q8_0,3-4B,100,0,0.0,0,0.0,0,,
gemma3:4b-it-qat,3-4B,100,0,0.0,0,0.0,0,,
gemma3n:e2b,4-5B,100,0,0.0,0,0.0,0,,
gemma4:e2b-it-qat,4-5B,100,0,0.0,0,0.0,0,,
gemma:2b,2-3B,100,0,0.0,2,2.0,0,,
gemma:2b-instruct-q4_K_M,2-3B,100,0,0.0,1,1.0,0,,
gemma:2b-instruct-q8_0,2-3B,100,0,0.0,0,0.0,0,,
granite3.1-dense:2b,2-3B,100,0,0.0,2,2.0,0,,
granite3.1-dense:2b-instruct-q8_0,2-3B,100,0,0.0,0,0.0,0,,
granite3.1-moe:3b,2-3B,100,0,0.0,2,2.0,0,,
granite3.2:2b,2-3B,100,0,0.0,11,11.0,0,,
granite3.2:2b-instruct-q4_K_M,2-3B,100,0,0.0,11,11.0,0,,
granite3.3:2b,2-3B,100,0,0.0,0,0.0,0,,
granite4.1:3b,3-4B,100,0,0.0,0,0.0,0,,
granite4:1b-h,0-1B,100,0,0.0,0,0.0,0,,
