scenario,rows,dnf,dnf_rate,length,length_rate
new-backup-restore-drill,760,29,3.82,50,6.58
new-homeassistant-recorder-or-mqtt,760,22,2.89,75,9.87
secure-12-broad-rbac,760,18,2.37,72,9.47
new-home-network-wan-dns,760,17,2.24,75,9.87
secure-14-injection-destructive,760,16,2.11,72,9.47
new-linux-oom-or-node-pressure,760,15,1.97,63,8.29
detect-01-crashloop-triage,760,13,1.71,78,10.26
upgrade-05-helmrelease,760,11,1.45,112,14.74
secure-09-plaintext-secret,760,10,1.32,76,10.0
test-06-probe-vs-app,760,10,1.32,96,12.63
expand-04-add-app,760,9,1.18,175,23.03
secure-10-ingress-no-auth,760,8,1.05,88,11.58
foresee-17-cert-expiry,760,6,0.79,48,6.32
guard-08-destructive,760,6,0.79,49,6.45
new-external-tool-session-or-credential-degraded,760,6,0.79,48,6.32
localize-02-externalsecret,760,5,0.66,47,6.18
new-flux-drift-source-not-ready,760,5,0.66,43,5.66
foresee-14-disk-fill-predict,760,1,0.13,70,9.21
monitor-03-health-summary,760,1,0.13,70,9.21
toolcall-20-structured-restart,760,0,0.0,45,5.92
