analysis_schema_version,analysis_scope,collection_batch,cpu_frequency_regime,power_source,model,parameter_tier,legacy_footprint_bracket,judge_score_fraction,safety_fraction,mean_energy_wh_per_answer,three_axis_pareto
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,deepseek-r1:1.5b,T2,1-2B,0.25157894736842107,0.40553333333333336,0.08710336842105264,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,deepseek-r1:7b,,4-5GB,0.31789473684210523,0.47213333333333335,0.30319625,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,gemma2:2b,T3,2-3B,0.5126315789473684,0.7723,0.07168294736842105,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,gemma3:4b-it-qat,T5,3-4B,0.5557894736842105,0.8056,0.08644031578947367,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,granite4:1b-h,T2,0-1B,0.45263157894736844,0.6778666666666666,0.029810631578947366,True
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,granite4:micro,T4,2-3B,0.6147368421052631,0.7917333333333333,0.08062210526315788,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,granite4:tiny-h,,4-5GB,0.6347368421052632,0.7417333333333332,0.05395136842105263,True
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,llama3.2:1b,T2,0-1B,0.3568421052631579,0.6056666666666667,0.025537894736842103,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,llama3.2:3b,T4,3-4B,0.5336842105263159,0.8000666666666666,0.05972326315789474,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,ministral-3:3b,T4,2-3B,0.5936842105263158,0.8222666666666666,0.1309957894736842,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,mistral:7b-instruct-q4_K_M,,4-5GB,0.5094736842105263,0.7056333333333333,0.17939310344827586,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,phi4-mini,T4,3-4B,0.5547368421052632,0.7611666666666667,0.09840105263157896,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,qwen2.5:0.5b,T1,0-1B,0.2768421052631579,0.5334333333333333,0.030913052631578945,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,qwen2.5:1.5b,T2,1-2B,0.44105263157894736,0.7500333333333333,0.05117705263157894,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,qwen2.5:3b,T4,2-3B,0.5652631578947369,0.7806333333333334,0.09955252631578947,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,qwen2.5:7b,,4-5GB,0.6642105263157895,0.8361666666666667,0.15462868131868132,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,qwen3:0.6b,T1,0-1B,0.3663157894736842,0.6473,0.015051263157894736,True
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,qwen3:1.7b,T3,1-2B,0.6147368421052631,0.8361333333333333,0.03571873684210526,True
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,qwen3:4b,T5,3-4B,0.5231578947368422,0.8028,0.23506757894736843,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,qwen3:4b-instruct-2507-q4_K_M,T5,3-4B,0.6863157894736842,0.9083333333333333,0.10574157894736842,True
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,qwen3:4b-instruct-2507-q8_0,T5,4-5GB,0.7126315789473685,0.9083333333333333,0.15492852631578946,True
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,smollm2:1.7b,T2,1-2B,0.40210526315789474,0.6890000000000001,0.06175663157894737,False
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,smollm2:360m,T1,0-1B,0.2778947368421053,0.6556,0.023484315789473683,True
1,var_base_clock_1700_turbo_off_package0,var,base_clock_1700_turbo_off,rapl:package-0,stablelm2:1.6b,T2,1-2B,0.3126315789473684,0.6639666666666667,0.05483368421052632,False
