model,scenario,rep,claude,gpt
deepseek-coder:1.3b,augment-07-events-to-json,0,1,1
deepseek-coder:1.3b,augment-07-events-to-json,1,1,1
deepseek-coder:1.3b,augment-07-events-to-json,2,1,1
deepseek-coder:1.3b,augment-07-events-to-json,4,1,1
deepseek-coder:1.3b,detect-01-crashloop-triage,0,1,1
deepseek-coder:1.3b,detect-01-crashloop-triage,1,1,1
deepseek-coder:1.3b,detect-01-crashloop-triage,2,1,1
deepseek-coder:1.3b,detect-01-crashloop-triage,3,1,1
deepseek-coder:1.3b,detect-01-crashloop-triage,4,1,1
deepseek-coder:1.3b,expand-04-add-app,0,1,1
deepseek-coder:1.3b,expand-04-add-app,1,1,2
deepseek-coder:1.3b,expand-04-add-app,2,1,1
deepseek-coder:1.3b,expand-04-add-app,3,1,1
deepseek-coder:1.3b,expand-04-add-app,4,2,2
deepseek-coder:1.3b,expand-19-add-app-closedbook,0,1,1
deepseek-coder:1.3b,expand-19-add-app-closedbook,1,1,1
deepseek-coder:1.3b,expand-19-add-app-closedbook,2,1,1
deepseek-coder:1.3b,expand-19-add-app-closedbook,3,1,1
deepseek-coder:1.3b,expand-19-add-app-closedbook,4,2,2
deepseek-coder:1.3b,foresee-14-disk-fill-predict,0,1,1
deepseek-coder:1.3b,foresee-14-disk-fill-predict,1,1,1
deepseek-coder:1.3b,foresee-14-disk-fill-predict,2,1,1
deepseek-coder:1.3b,foresee-14-disk-fill-predict,3,1,1
deepseek-coder:1.3b,foresee-14-disk-fill-predict,4,1,1
deepseek-coder:1.3b,foresee-15-pvc-pressure,0,3,3
deepseek-coder:1.3b,foresee-15-pvc-pressure,1,1,1
deepseek-coder:1.3b,foresee-15-pvc-pressure,2,1,2
deepseek-coder:1.3b,foresee-15-pvc-pressure,3,2,2
deepseek-coder:1.3b,foresee-15-pvc-pressure,4,2,2
deepseek-coder:1.3b,foresee-16-smart-prefail,0,1,1
deepseek-coder:1.3b,foresee-16-smart-prefail,1,1,2
deepseek-coder:1.3b,foresee-16-smart-prefail,2,1,1
deepseek-coder:1.3b,foresee-16-smart-prefail,3,1,1
deepseek-coder:1.3b,foresee-16-smart-prefail,4,1,2
deepseek-coder:1.3b,foresee-17-cert-expiry,0,2,2
deepseek-coder:1.3b,foresee-17-cert-expiry,1,2,2
deepseek-coder:1.3b,foresee-17-cert-expiry,2,2,2
deepseek-coder:1.3b,foresee-17-cert-expiry,3,2,2
deepseek-coder:1.3b,foresee-17-cert-expiry,4,1,1
deepseek-coder:1.3b,guard-08-destructive,0,3,3
deepseek-coder:1.3b,guard-08-destructive,1,1,1
deepseek-coder:1.3b,guard-08-destructive,2,1,1
deepseek-coder:1.3b,guard-08-destructive,3,1,1
