model,bracket,quality,safety,energy_wh,mWh
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,3-4B,0.7136842105263158,0.8028333333333334,0.13761378947368422,137.61378947368422
qwen3:4b-instruct-2507-q8_0,4-5GB,0.7126315789473685,0.9083333333333333,0.15492852631578946,154.92852631578947
qwen3:4b-instruct-2507-q4_K_M,3-4B,0.6863157894736842,0.9083333333333333,0.10574157894736842,105.74157894736842
granite4:tiny-h,4-5GB,0.6347368421052632,0.7417333333333332,0.05395136842105263,53.95136842105263
qwen3:1.7b-q8_0,1-2B,0.6210526315789474,0.8278,0.0928398947368421,92.8398947368421
qwen3:1.7b,1-2B,0.6147368421052631,0.8361333333333333,0.03571873684210526,35.71873684210526
granite4:1b-h,0-1B,0.45263157894736844,0.6778666666666666,0.029810631578947366,29.810631578947365
qwen3:0.6b-q8_0,0-1B,0.4178947368421053,0.6833666666666667,0.03367231578947368,33.67231578947368
qwen3:0.6b,0-1B,0.3663157894736842,0.6473,0.015051263157894736,15.051263157894736
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,0-1B,0.3621052631578947,0.6861666666666667,0.03236263157894737,32.36263157894737
smollm2:360m,0-1B,0.2778947368421053,0.6556,0.023484315789473683,23.484315789473683
smollm2:135m-instruct-q8_0,0-1B,0.22842105263157894,0.4862,0.013152631578947369,13.15263157894737
