model,param_count,param_size,quant,family
aya-expanse:8b,8028033024,8.0B,Q4_K_M,command-r
codegemma:2b,2506172416,3B,Q4_0,gemma
codegemma:2b-code-q6_K,2506172416,3B,Q6_K,gemma
cogito:3b,3606752320,3.6B,Q4_K_M,llama
cogito:3b-v1-preview-llama-q8_0,3606752320,3.6B,Q8_0,llama
cogito:8b,8030261312,8.0B,Q4_K_M,llama
command-r7b:latest,8028033024,8.0B,Q4_K_M,cohere2
deepseek-coder:1.3b,1346471936,1B,Q4_0,llama
deepseek-coder:1.3b-instruct-q8_0,1346471936,1B,Q8_0,llama
exaone-deep:7.8b,7818448960,7.8B,Q4_K_M,exaone
exaone3.5:7.8b,7818448960,7.8B,Q4_K_M,exaone
falcon3:1b,1669408768,1.7B,Q8_0,llama
falcon3:1b-instruct-q8_0,1669408768,1.7B,Q8_0,llama
falcon3:3b,3227655168,3.2B,Q4_K_M,llama
falcon3:3b-instruct-q4_K_M,3227655168,3.2B,Q4_K_M,llama
falcon3:3b-instruct-q8_0,3227655168,3.2B,Q8_0,llama
falcon3:7b,7455550464,7.5B,Q4_K_M,llama
gemma2:2b,2614341888,2.6B,Q4_0,gemma2
gemma2:2b-instruct-q4_K_M,2614341888,2.6B,Q4_K_M,gemma2
gemma2:2b-instruct-q8_0,2614341888,2.6B,Q8_0,gemma2
gemma3:1b,999885952,999.89M,Q4_K_M,gemma3
gemma3:1b-it-q8_0,999885952,999.89M,Q8_0,gemma3
gemma3:1b-it-qat,999885952,999.89M,Q4_0,gemma3
gemma3:270m,268098176,268.10M,Q8_0,gemma3
gemma3:270m-it-qat,268098176,268.10M,Q4_0,gemma3
gemma3:4b,4299915632,4.3B,Q4_K_M,gemma3
gemma3:4b-it-q4_K_M,4299915632,4.3B,Q4_K_M,gemma3
gemma3:4b-it-q8_0,4299915632,4.3B,Q8_0,gemma3
gemma3:4b-it-qat,4300079472,4.3B,Q4_0,gemma3
gemma3n:e2b,4456156768,4.5B,Q4_K_M,gemma3n
gemma4:e2b-it-qat,4628569635,4.6B,Q4_0,gemma4
gemma:2b,2506434560,3B,Q4_0,gemma
gemma:2b-instruct-q4_K_M,2506434560,3B,Q4_K_M,gemma
gemma:2b-instruct-q8_0,2506434560,3B,Q8_0,gemma
granite3.1-dense:2b,2533531648,2.5B,Q4_K_M,granite
granite3.1-dense:2b-instruct-q8_0,2533531648,2.5B,Q8_0,granite
granite3.1-moe:3b,3298793472,3.3B,Q4_K_M,granitemoe
granite3.2:2b,2533531648,2.5B,Q4_K_M,granite
granite3.2:2b-instruct-q4_K_M,2533531648,2.5B,Q4_K_M,granite
granite3.3:2b,2533539840,2.5B,Q4_K_M,granite
granite3.3:8b,8170864640,8.2B,Q4_K_M,granite
granite4.1:3b,3402836480,3.4B,Q4_K_M,granite
granite4:1b-h,1461538368,1.5B,Q8_0,granitehybrid
granite4:350m,352379904,352.38M,BF16,granite
granite4:350m-bf16,352379904,352.38M,BF16,granite
granite4:350m-h,340332224,340.33M,Q8_0,granitehybrid
granite4:micro,3402836480,3.4B,Q4_K_M,granite
granite4:micro-h,3191396096,3.2B,Q4_K_M,granitehybrid
granite4:tiny-h,6939037248,6.9B,Q4_K_M,granitehybrid
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q4_K_M,1170340608,1.17B,Q4_K_M,lfm2
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q8_0,1170340608,1.17B,Q8_0,lfm2
hf.co/LiquidAI/LFM2-350M-GGUF:Q4_K_M,354483968,354M,Q4_K_M,lfm2
hf.co/LiquidAI/LFM2-700M-GGUF:Q4_K_M,742489344,742M,Q4_K_M,lfm2
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q4_K_M,3212749888,3.21B,Q4_K_M,llama
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q8_0,3212749888,3.21B,Q8_0,llama
hf.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF:Q4_K_M,1777088000,1.78B,Q4_K_M,qwen2
hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,3397103616,3.4B,Q4_K_M,qwen2
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,4022468096,4.02B,Q4_K_M,qwen3
hf.co/allenai/OLMo-2-0425-1B-Instruct-GGUF:Q4_K_M,1484916736,1.48B,Q4_K_M,olmo2
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:IQ4_XS,3212749888,3.21B,IQ4_XS,llama
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q3_K_L,3212749888,3.21B,Q3_K_L,llama
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q5_K_M,3212749888,3.21B,Q5_K_M,llama
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q6_K,3212749888,3.21B,Q6_K,llama
hf.co/ggml-org/SmolLM3-3B-GGUF:Q4_K_M,3075098624,3.08B,Q4_K_M,smollm3
