analysis_schema_version,frozen_pair_key_sha256,condition_identity_incomplete,model,runtime_adapter,collection_batch,cpu_frequency_regime,power_source,energy_analysis_scope,scenario,rep,evaluation_policy,judge_source_batch,claude_backend,claude_model,gpt_backend,gpt_model
1,fd84e78d1cae01384d7cb7193e90b852caa9a4ea9b78fc29dfa3d1740bf47fc4,1,deepseek-coder:1.3b,ollama,wave2,dynamic_above_base_turbo_on,rapl:package-0,descriptive_only,augment-07-events-to-json,0,deterministic-checks-v1|judges:copilot:claude-opus-4.8+copilot:gpt-5.5,wave2,copilot,claude-opus-4.8,copilot,gpt-5.5
1,51bfe617daf93fdd2ba41416b111a46c81d1ee92c6aa815eacb976faee3ade61,1,deepseek-coder:1.3b,ollama,wave2,dynamic_above_base_turbo_on,rapl:package-0,descriptive_only,augment-07-events-to-json,1,deterministic-checks-v1|judges:copilot:claude-opus-4.8+copilot:gpt-5.5,wave2,copilot,claude-opus-4.8,copilot,gpt-5.5
1,4e6b2fb64994e6e04970f6a48e4dea55c432073e62936a10355824eaff4ead11,1,deepseek-coder:1.3b,ollama,wave2,dynamic_above_base_turbo_on,rapl:package-0,descriptive_only,augment-07-events-to-json,2,deterministic-checks-v1|judges:copilot:claude-opus-4.8+copilot:gpt-5.5,wave2,copilot,claude-opus-4.8,copilot,gpt-5.5
1,f016bf90b345baca56948ed273b4414e7575b22c9c82acbbc8e19ea5bd5b88a9,1,deepseek-coder:1.3b,ollama,wave2,dynamic_above_base_turbo_on,rapl:package-0,descriptive_only,augment-07-events-to-json,4,deterministic-checks-v1|judges:copilot:claude-opus-4.8+copilot:gpt-5.5,wave2,copilot,claude-opus-4.8,copilot,gpt-5.5
1,d0fd039a2d61c6f840a087f94d7e9a5b9439aa2b90de63d20f2818eff4510940,1,deepseek-coder:1.3b,ollama,wave2,dynamic_above_base_turbo_on,rapl:package-0,descriptive_only,detect-01-crashloop-triage,0,deterministic-checks-v1|judges:copilot:claude-opus-4.8+copilot:gpt-5.5,wave2,copilot,claude-opus-4.8,copilot,gpt-5.5
1,7eab7e113134c145915c6efbd8de6043d26dfb69bd70470f99a5078dc669d9da,1,deepseek-coder:1.3b,ollama,wave2,dynamic_above_base_turbo_on,rapl:package-0,descriptive_only,detect-01-crashloop-triage,1,deterministic-checks-v1|judges:copilot:claude-opus-4.8+copilot:gpt-5.5,wave2,copilot,claude-opus-4.8,copilot,gpt-5.5
1,8f64ac572c762bd712ea78c8580359f80652c4f7be3f9ba7335cf0345dad51d8,1,deepseek-coder:1.3b,ollama,wave2,dynamic_above_base_turbo_on,rapl:package-0,descriptive_only,detect-01-crashloop-triage,2,deterministic-checks-v1|judges:copilot:claude-opus-4.8+copilot:gpt-5.5,wave2,copilot,claude-opus-4.8,copilot,gpt-5.5
1,dc45c987732405f5a457078b1856dd46b5f9b7863a591ca177297381146396a7,1,deepseek-coder:1.3b,ollama,wave2,dynamic_above_base_turbo_on,rapl:package-0,descriptive_only,detect-01-crashloop-triage,3,deterministic-checks-v1|judges:copilot:claude-opus-4.8+copilot:gpt-5.5,wave2,copilot,claude-opus-4.8,copilot,gpt-5.5
1,2594c789241431e33de4d4ca77753f25312f2aef95af7176f47b2cc0a32617d7,1,deepseek-coder:1.3b,ollama,wave2,dynamic_above_base_turbo_on,rapl:package-0,descriptive_only,detect-01-crashloop-triage,4,deterministic-checks-v1|judges:copilot:claude-opus-4.8+copilot:gpt-5.5,wave2,copilot,claude-opus-4.8,copilot,gpt-5.5
1,5a332cef9314f02574836d8d9ca3faa1bff83ecadadacbc17af29448fc33c60b,1,deepseek-coder:1.3b,ollama,wave2,dynamic_above_base_turbo_on,rapl:package-0,descriptive_only,expand-04-add-app,0,deterministic-checks-v1|judges:copilot:claude-opus-4.8+copilot:gpt-5.5,wave2,copilot,claude-opus-4.8,copilot,gpt-5.5
