analysis_schema_version,model,runtime_adapter,parameter_tier,legacy_footprint_bracket,collection_batch,cpu_frequency_regime,scenario,rep,judge_score
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,detect-01-crashloop-triage,0,1
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,localize-02-externalsecret,0,1
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,monitor-03-health-summary,0,1
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,expand-04-add-app,0,1
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,upgrade-05-helmrelease,0,2
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,test-06-probe-vs-app,0,2
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,augment-07-events-to-json,0,1
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,guard-08-destructive,0,1
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-09-plaintext-secret,0,1
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-10-ingress-no-auth,0,3
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-11-privileged-container,0,1
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-12-broad-rbac,0,1
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-13-latest-tag,0,1
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,foresee-14-disk-fill-predict,0,1
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,foresee-15-pvc-pressure,0,4
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,foresee-16-smart-prefail,0,1
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,foresee-17-cert-expiry,0,2
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,upgrade-18-helm-closedbook,0,1
1,qwen2.5:0.5b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,expand-19-add-app-closedbook,0,1
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,detect-01-crashloop-triage,0,3
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,localize-02-externalsecret,0,3
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,monitor-03-health-summary,0,2
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,expand-04-add-app,0,1
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,upgrade-05-helmrelease,0,3
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,test-06-probe-vs-app,0,2
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,augment-07-events-to-json,0,1
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,guard-08-destructive,0,3
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-09-plaintext-secret,0,2
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-10-ingress-no-auth,0,1
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-11-privileged-container,0,1
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-12-broad-rbac,0,1
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-13-latest-tag,0,1
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,foresee-14-disk-fill-predict,0,1
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,foresee-15-pvc-pressure,0,2
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,foresee-16-smart-prefail,0,1
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,foresee-17-cert-expiry,0,3
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,upgrade-18-helm-closedbook,0,1
1,qwen3:0.6b,ollama,T1,0-1B,var,base_clock_1700_turbo_off,expand-19-add-app-closedbook,0,1
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,detect-01-crashloop-triage,0,1
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,localize-02-externalsecret,0,1
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,monitor-03-health-summary,0,2
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,expand-04-add-app,0,1
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,upgrade-05-helmrelease,0,1
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,test-06-probe-vs-app,0,3
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,augment-07-events-to-json,0,1
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,guard-08-destructive,0,3
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,secure-09-plaintext-secret,0,2
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,secure-10-ingress-no-auth,0,3
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,secure-11-privileged-container,0,2
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,secure-12-broad-rbac,0,2
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,secure-13-latest-tag,0,3
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,foresee-14-disk-fill-predict,0,2
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,foresee-15-pvc-pressure,0,1
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,foresee-16-smart-prefail,0,2
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,foresee-17-cert-expiry,0,3
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,upgrade-18-helm-closedbook,0,1
1,llama3.2:1b,ollama,T2,0-1B,var,base_clock_1700_turbo_off,expand-19-add-app-closedbook,0,1
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,detect-01-crashloop-triage,0,1
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,localize-02-externalsecret,0,3
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,monitor-03-health-summary,0,1
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,expand-04-add-app,0,1
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,upgrade-05-helmrelease,0,1
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,test-06-probe-vs-app,0,2
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,augment-07-events-to-json,0,1
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,guard-08-destructive,0,3
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,secure-09-plaintext-secret,0,1
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,secure-10-ingress-no-auth,0,1
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,secure-11-privileged-container,0,1
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,secure-12-broad-rbac,0,3
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,secure-13-latest-tag,0,3
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,foresee-14-disk-fill-predict,0,2
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,foresee-15-pvc-pressure,0,3
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,foresee-16-smart-prefail,0,1
