model,quality,ci_lo,ci_hi,det,rank
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,3.568421052631579,3.2156578947368417,3.9210526315789473,0.8682631578947368,1
qwen3:4b-instruct-2507-q8_0,3.5631578947368423,3.1315789473684212,3.9684210526315793,0.94,2
qwen3:4b-q8_0,3.547368421052632,3.1736842105263166,3.9210526315789465,0.8745789473684211,3
qwen3:4b-instruct-2507-q4_K_M,3.431578947368421,3.036842105263158,3.7736842105263158,0.9131578947368422,4
qwen2.5:7b,3.3210526315789473,2.9368421052631573,3.689473684210527,0.8837052631578949,5
granite4:tiny-h,3.1736842105263157,2.789473684210526,3.5578947368421048,0.8407263157894738,6
qwen3:1.7b-fp16,3.1315789473684212,2.7421052631578946,3.547368421052631,0.8347473684210526,7
qwen3:1.7b-q8_0,3.1052631578947367,2.6842105263157894,3.5631578947368423,0.8619368421052631,8
qwen3:1.7b,3.0736842105263156,2.6421052631578945,3.521052631578948,0.8121157894736842,9
granite4:micro,3.0736842105263156,2.763157894736842,3.3684210526315788,0.8638842105263159,10
ministral-3:3b,2.968421052631579,2.5842105263157897,3.3473684210526318,0.8758105263157895,11
granite3.1-dense:2b-instruct-q8_0,2.947368421052632,2.5842105263157897,3.3210526315789473,0.8510842105263158,12
gemma3:4b,2.9315789473684206,2.5789473684210527,3.289473684210526,0.8214105263157896,13
gemma3:4b-it-q4_K_M,2.9315789473684206,2.5789473684210527,3.3,0.8214105263157896,14
granite3.3:2b,2.9210526315789473,2.5578947368421048,3.2736842105263158,0.8340631578947368,15
phi3.5:3.8b-mini-instruct-q8_0,2.9,2.4947368421052634,3.3105263157894735,0.8526631578947369,16
hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,2.8368421052631576,2.5105263157894737,3.1473684210526316,0.8061578947368421,17
qwen2.5:3b-instruct-q8_0,2.8315789473684214,2.384210526315789,3.2578947368421054,0.8224631578947369,18
qwen2.5:3b,2.8263157894736843,2.436842105263158,3.205263157894737,0.8065157894736842,19
gemma3:4b-it-qat,2.7789473684210524,2.4157894736842103,3.1631578947368424,0.7786105263157894,20
phi4-mini,2.7736842105263158,2.4105263157894736,3.1473684210526316,0.8244105263157895,21
gemma3:4b-it-q8_0,2.768421052631579,2.3473684210526318,3.2157894736842105,0.7612631578947369,22
qwen2.5:3b-instruct-q4_K_M,2.763157894736842,2.3789473684210525,3.1315789473684212,0.8065157894736842,23
