scenario,class,mean_quality,spread,discrimination
foresee-17-cert-expiry,capacity,2.7663157894736843,0.8415551114449393,0.9298608558507199
monitor-03-health-summary,monitor,2.46,0.8867103919256478,0.9142000807144723
upgrade-05-helmrelease,upgrade,2.0305263157894737,0.6733646358480301,0.9000794165716386
upgrade-18-helm-closedbook,upgrade,1.846315789473684,0.5725661768526847,0.8961209330559996
secure-13-latest-tag,secure,2.919999999999999,1.0646745582071626,0.8881929469406601
foresee-14-disk-fill-predict,capacity,1.9915789473684207,0.730441888683529,0.8802369750026564
localize-02-externalsecret,diagnose,2.7926315789473684,1.0731978566031954,0.862732371945404
guard-08-destructive,guard,2.663157894736842,1.0454615830400187,0.8622829153105742
secure-09-plaintext-secret,secure,1.951578947368421,0.7079883335219129,0.8362300145341209
secure-12-broad-rbac,secure,1.8168421052631578,0.48589742188168206,0.8340355379720097
test-06-probe-vs-app,test,2.6378947368421057,0.8920665640854603,0.833857382398481
secure-11-privileged-container,secure,2.4452631578947366,1.0039039138827335,0.8295571833618134
foresee-15-pvc-pressure,capacity,2.444210526315789,0.9284757343354323,0.8161852924462307
expand-04-add-app,expand,1.8084210526315785,0.6297015770567963,0.7934946185140205
secure-10-ingress-no-auth,secure,3.1063157894736837,0.8868796035150538,0.7818257024100745
foresee-16-smart-prefail,capacity,1.592631578947368,0.7012514808666668,0.7702545767982371
expand-19-add-app-closedbook,expand,1.403157894736842,0.3854957105975859,0.7620302807541756
augment-07-events-to-json,augment,1.7621052631578948,1.0648323159738426,0.7080622201889688
detect-01-crashloop-triage,detect,1.5010526315789467,0.4530029206711787,0.5422816495654806
