model,chatok_quality,family,size_gb,params_b,bracket,is_moe
aya-expanse:8b,2.895,aya,,,4-5GB,
codegemma:2b,1.07,codegemma,,,2-3B,
codegemma:2b-code-q6_K,1.235,codegemma,,,2-3B,
cogito:3b,2.365,cogito,,,3-4B,
cogito:3b-v1-preview-llama-q8_0,2.37,cogito,,,3-4B,
cogito:8b,2.875,cogito,,,4-5GB,
command-r7b:latest,2.63,command,,,4-5GB,
deepseek-coder:1.3b,1.37,deepseek-coder,1.74,1.0,1-2B,False
deepseek-coder:1.3b-instruct-q8_0,1.395,deepseek-coder,2.4,1.0,1-2B,False
exaone-deep:7.8b,2.125,exaone,,,4-5GB,
exaone3.5:7.8b,3.14,exaone,,,4-5GB,
falcon3:1b,1.545,falcon3,2.24,1.7,1-2B,False
falcon3:1b-instruct-q8_0,1.54,falcon3,2.24,1.7,1-2B,False
falcon3:3b,1.985,falcon3,2.56,3.2,3-4B,False
falcon3:3b-instruct-q4_K_M,1.995,falcon3,2.56,3.2,3-4B,False
falcon3:3b-instruct-q8_0,2.22,falcon3,3.99,3.2,3-4B,False
falcon3:7b,2.835,falcon,,,4-5GB,
gemma2:2b,2.385,gemma2,1.96,2.6,2-3B,False
gemma2:2b-instruct-q4_K_M,2.54,,,,,
gemma2:2b-instruct-q8_0,2.445,gemma2,3.11,2.6,2-3B,False
gemma3:1b,1.855,gemma3,0.95,0.9998900000000001,0-1B,False
gemma3:1b-it-q8_0,1.79,gemma3,1.21,0.9998900000000001,0-1B,False
gemma3:1b-it-qat,1.99,gemma3,1.14,0.9998900000000001,0-1B,False
gemma3:270m,1.28,gemma,,,0-1B,
gemma3:270m-it-qat,1.245,gemma,,,0-1B,
gemma3:4b,2.94,gemma3,2.94,4.3,3-4B,False
gemma3:4b-it-q4_K_M,2.88,gemma3,2.94,4.3,3-4B,False
gemma3:4b-it-q8_0,2.78,gemma3,4.58,4.3,3-4B,False
gemma3:4b-it-qat,2.715,gemma3,3.6,4.3,3-4B,False
gemma3n:e2b,2.835,,,,,
gemma4:e2b-it-qat,3.185,,,,,
gemma:2b,1.775,gemma,2.0,3.0,2-3B,False
gemma:2b-instruct-q4_K_M,1.83,,,,,
gemma:2b-instruct-q8_0,1.79,gemma,2.99,3.0,2-3B,False
granite3.1-dense:2b,2.46,granite3.1-dense,2.07,2.5,2-3B,False
granite3.1-dense:2b-instruct-q8_0,2.59,granite3.1-dense,3.19,2.5,2-3B,False
granite3.1-moe:3b,1.875,granite3.1-moe,2.46,3.3,2-3B,True
granite3.2:2b,2.52,granite3.2,2.04,2.5,2-3B,False
granite3.2:2b-instruct-q4_K_M,2.535,granite3.2,2.04,2.5,2-3B,False
granite3.3:2b,2.475,granite3.3,2.04,2.5,2-3B,False
granite3.3:8b,3.265,granite,,,4-5GB,
granite4.1:3b,2.98,,,,,
granite4:1b-h,2.235,granite4,1.75,1.5,0-1B,False
granite4:350m,1.525,granite,,,0-1B,
granite4:350m-bf16,1.51,granite,,,0-1B,
granite4:350m-h,1.59,granite,,,0-1B,
granite4:micro,2.72,granite4,2.6,3.4,2-3B,False
granite4:micro-h,3.015,granite,,,2-3B,
granite4:tiny-h,2.775,granite4,4.43,6.9,4-5GB,True
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q4_K_M,1.86,LFM,,,1-2B,
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q8_0,1.95,LFM,,,1-2B,
hf.co/LiquidAI/LFM2-350M-GGUF:Q4_K_M,1.325,LFM,,,0-1B,
hf.co/LiquidAI/LFM2-700M-GGUF:Q4_K_M,1.395,LFM,,,0-1B,
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q4_K_M,2.11,Hermes,,,3-4B,
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q8_0,2.22,Hermes,,,3-4B,
hf.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF:Q4_K_M,2.075,qwen2.5,1.38,1.78,1-2B,False
hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,2.65,qwen2.5,2.44,3.4,2-3B,False
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,2.875,qwen3,3.32,4.02,3-4B,False
hf.co/allenai/OLMo-2-0425-1B-Instruct-GGUF:Q4_K_M,1.695,OLMo,,,0-1B,
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:IQ4_XS,2.385,Llama,,,3-4B,
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q3_K_L,2.25,Llama,,,3-4B,
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q5_K_M,2.52,Llama,,,3-4B,
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q6_K,2.42,Llama,,,3-4B,
hf.co/ggml-org/SmolLM3-3B-GGUF:Q4_K_M,2.245,SmolLM,,,3-4B,
hf.co/ggml-org/SmolLM3-3B-GGUF:Q8_0,2.295,SmolLM,,,3-4B,
hf.co/openbmb/MiniCPM3-4B-GGUF:Q4_K_M,2.315,MiniCPM,,,3-4B,
hf.co/tiiuae/Falcon-H1-0.5B-Instruct-GGUF:Q4_K_M,1.69,,,,,
hf.co/tiiuae/Falcon-H1-1.5B-Deep-Instruct-GGUF:IQ4_XS,2.365,Falcon,,,1-2B,
hf.co/tiiuae/Falcon-H1-1.5B-Deep-Instruct-GGUF:Q4_K_M,2.39,Falcon,,,1-2B,
hf.co/tiiuae/Falcon-H1-3B-Instruct-GGUF:Q4_K_M,2.915,,,,,
hf.co/unsloth/Llama-3.1-8B-Instruct-GGUF:Q4_K_M,3.06,Llama,,,4-5GB,
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,1.615,llama3.2,1.09,1.24,0-1B,False
hf.co/unsloth/Phi-4-mini-instruct-GGUF:Q4_K_M,2.49,phi4-mini,3.21,3.84,3-4B,False
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,3.38,qwen3,3.32,4.02,3-4B,False
internlm2:1.8b,1.49,internlm2,1.68,1.9,1-2B,False
internlm2:7b,2.525,internlm,,,4-5GB,
llama3.1:8b,3.035,llama,,,4-5GB,
llama3.2:1b,1.645,llama3.2,1.6,1.2,0-1B,False
llama3.2:1b-instruct-q4_K_M,1.53,,,,,
llama3.2:1b-instruct-q8_0,1.625,llama3.2,1.6,1.2,0-1B,False
llama3.2:3b,2.515,llama3.2,2.67,3.2,3-4B,False
llama3.2:3b-instruct-q4_K_M,2.435,,,,,
llama3.2:3b-instruct-q8_0,2.5,llama3.2,4.07,3.2,3-4B,False
ministral-3:3b,2.81,ministral-3,2.85,3.8,2-3B,False
mistral:7b-instruct-q4_K_M,2.31,mistral,5.18,7.0,4-5GB,False
nemotron-mini:4b,1.66,nemotron-mini,3.02,4.2,3-4B,False
nemotron-mini:4b-instruct-q4_K_M,1.665,nemotron-mini,3.02,4.2,3-4B,False
nemotron-mini:4b-instruct-q8_0,1.745,nemotron-mini,4.78,4.2,3-4B,False
