model,q94,q152,delta
deepseek-coder:1.3b,1.475,1.325,-0.15
deepseek-coder:1.3b-instruct-q8_0,1.4583,1.4083,-0.05
falcon3:1b,1.8333,1.6417,-0.1917
falcon3:1b-instruct-q8_0,1.825,1.6333,-0.1917
falcon3:3b,2.3083,2.0667,-0.2417
falcon3:3b-instruct-q4_K_M,2.2417,2.05,-0.1917
falcon3:3b-instruct-q8_0,2.55,2.325,-0.225
gemma2:2b,2.7667,2.575,-0.1917
gemma2:2b-instruct-q8_0,2.7417,2.6,-0.1417
gemma3:1b,2.0833,1.95,-0.1333
gemma3:1b-it-q8_0,1.9417,1.7583,-0.1833
gemma3:1b-it-qat,2.2333,2.075,-0.1583
gemma3:4b,3.0833,2.9,-0.1833
gemma3:4b-it-q4_K_M,3.0917,2.85,-0.2417
gemma3:4b-it-q8_0,2.9583,2.7583,-0.2
gemma3:4b-it-qat,2.9167,2.725,-0.1917
gemma:2b,2.0083,1.7167,-0.2917
gemma:2b-instruct-q8_0,1.8333,1.7583,-0.075
granite3.1-dense:2b,2.8333,2.4667,-0.3667
granite3.1-dense:2b-instruct-q8_0,3.0083,2.6833,-0.325
granite3.1-moe:3b,2.0583,1.925,-0.1333
granite3.2:2b,2.7667,2.4667,-0.3
granite3.2:2b-instruct-q4_K_M,2.7333,2.475,-0.2583
granite3.3:2b,2.8,2.4333,-0.3667
granite4:1b-h,2.4,2.275,-0.125
granite4:micro,3.0583,2.8167,-0.2417
granite4:tiny-h,3.2083,2.8917,-0.3167
hf.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF:Q4_K_M,2.25,2.0417,-0.2083
hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,2.8917,2.6333,-0.2583
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,2.8167,2.9333,0.1167
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,1.9917,1.7917,-0.2
hf.co/unsloth/Phi-4-mini-instruct-GGUF:Q4_K_M,2.7583,2.575,-0.1833
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,3.6167,3.4667,-0.15
internlm2:1.8b,1.75,1.5833,-0.1667
llama3.2:1b,1.925,1.7333,-0.1917
llama3.2:1b-instruct-q8_0,1.8917,1.7167,-0.175
llama3.2:3b,2.9417,2.7083,-0.2333
llama3.2:3b-instruct-q8_0,2.8917,2.575,-0.3167
ministral-3:3b,3.0333,2.85,-0.1833
mistral:7b-instruct-q4_K_M,2.6917,2.4333,-0.2583
nemotron-mini:4b,1.9667,1.7333,-0.2333
nemotron-mini:4b-instruct-q4_K_M,1.9333,1.7417,-0.1917
nemotron-mini:4b-instruct-q8_0,1.9333,1.7833,-0.15
phi3.5:3.8b,2.7833,2.525,-0.2583
phi3.5:3.8b-mini-instruct-q8_0,2.9333,2.5667,-0.3667
phi3:3.8b,2.4417,2.175,-0.2667
phi3:3.8b-mini-128k-instruct-q8_0,2.5167,2.3583,-0.1583
phi4-mini,2.9,2.5667,-0.3333
phi4-mini-reasoning,2.3,2.375,0.075
qwen2.5-coder:1.5b,2.225,1.9667,-0.2583
qwen2.5-coder:1.5b-instruct-q8_0,2.1583,1.9667,-0.1917
qwen2.5-coder:3b,2.7667,2.475,-0.2917
qwen2.5-coder:3b-instruct-q4_K_M,2.7667,2.5,-0.2667
qwen2.5-coder:3b-instruct-q8_0,2.9,2.65,-0.25
qwen2.5:0.5b,1.3667,1.2417,-0.125
qwen2.5:0.5b-instruct-q4_K_M,1.3583,1.2417,-0.1167
qwen2.5:0.5b-instruct-q8_0,1.5083,1.275,-0.2333
qwen2.5:1.5b,2.2833,1.975,-0.3083
qwen2.5:1.5b-instruct-q4_K_M,2.275,1.975,-0.3
qwen2.5:1.5b-instruct-q8_0,2.25,2.075,-0.175
qwen2.5:3b,2.8583,2.575,-0.2833
qwen2.5:3b-instruct-q4_K_M,2.8,2.575,-0.225
qwen2.5:3b-instruct-q8_0,2.95,2.7583,-0.1917
qwen2.5:7b,3.3667,3.1083,-0.2583
qwen2:0.5b-instruct-q8_0,1.3917,1.3083,-0.0833
qwen2:1.5b,1.8,1.6667,-0.1333
qwen2:1.5b-instruct-q8_0,2.0333,1.75,-0.2833
qwen3:0.6b,2.0167,1.8583,-0.1583
qwen3:0.6b-fp16,2.1833,1.9333,-0.25
qwen3:0.6b-q8_0,2.2917,2.1333,-0.1583
qwen3:1.7b,3.1833,2.9583,-0.225
qwen3:1.7b-fp16,3.1667,2.975,-0.1917
qwen3:1.7b-q8_0,3.1083,2.8833,-0.225
qwen3:4b,2.4833,2.75,0.2667
qwen3:4b-instruct-2507-q4_K_M,3.3667,3.2333,-0.1333
qwen3:4b-instruct-2507-q8_0,3.4833,3.325,-0.1583
qwen3:4b-q8_0,3.6,3.425,-0.175
smollm2:1.7b,2.2583,1.925,-0.3333
smollm2:1.7b-instruct-q8_0,2.2167,1.9417,-0.275
smollm2:135m,1.2333,1.1417,-0.0917
smollm2:135m-instruct-q8_0,1.15,1.1,-0.05
smollm2:360m,1.5833,1.3833,-0.2
smollm2:360m-instruct-q8_0,1.3917,1.3,-0.0917
smollm:1.7b,1.3833,1.2417,-0.1417
smollm:360m,1.125,1.075,-0.05
stablelm2:1.6b,1.55,1.4333,-0.1167
stablelm2:1.6b-chat,1.45,1.4167,-0.0333
stablelm2:1.6b-zephyr,1.425,1.4333,0.0083
tinyllama:1.1b,1.425,1.3167,-0.1083
tinyllama:1.1b-chat-v1-q8_0,1.5333,1.425,-0.1083
