model,s94,s152
deepseek-coder:1.3b,0.6167,0.6
deepseek-coder:1.3b-instruct-q8_0,0.675,0.6251
falcon3:1b,0.625,0.5917
falcon3:1b-instruct-q8_0,0.625,0.5917
falcon3:3b,0.5416,0.525
falcon3:3b-instruct-q4_K_M,0.5416,0.525
falcon3:3b-instruct-q8_0,0.5501,0.5168
gemma2:2b,0.6918,0.6751
gemma2:2b-instruct-q8_0,0.6543,0.6543
gemma3:1b,0.6584,0.6417
gemma3:1b-it-q8_0,0.5792,0.5958
gemma3:1b-it-qat,0.6,0.6167
gemma3:4b,0.7958,0.8125
gemma3:4b-it-q4_K_M,0.7958,0.8125
gemma3:4b-it-q8_0,0.7001,0.7168
gemma3:4b-it-qat,0.725,0.725
gemma:2b,0.5583,0.5917
gemma:2b-instruct-q8_0,0.5292,0.5125
granite3.1-dense:2b,0.7126,0.7001
granite3.1-dense:2b-instruct-q8_0,0.6584,0.6751
granite3.1-moe:3b,0.571,0.571
granite3.2:2b,0.6834,0.7376
granite3.2:2b-instruct-q4_K_M,0.6834,0.7376
granite3.3:2b,0.7001,0.7293
granite4:1b-h,0.6168,0.6001
granite4:micro,0.6876,0.7334
granite4:tiny-h,0.6459,0.6626
hf.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF:Q4_K_M,0.6584,0.6418
hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,0.6876,0.7208
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,0.7625,0.725
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,0.6125,0.6375
hf.co/unsloth/Phi-4-mini-instruct-GGUF:Q4_K_M,0.6959,0.6668
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,0.7375,0.7209
internlm2:1.8b,0.5167,0.4834
llama3.2:1b,0.5084,0.5251
llama3.2:1b-instruct-q8_0,0.5084,0.5251
llama3.2:3b,0.7334,0.7209
llama3.2:3b-instruct-q8_0,0.6292,0.6626
ministral-3:3b,0.75,0.85
mistral:7b-instruct-q4_K_M,0.625,0.6292
nemotron-mini:4b,0.5875,0.6708
nemotron-mini:4b-instruct-q4_K_M,0.5875,0.6708
nemotron-mini:4b-instruct-q8_0,0.6292,0.6125
phi3.5:3.8b,0.6792,0.6792
phi3.5:3.8b-mini-instruct-q8_0,0.6418,0.6584
phi3:3.8b,0.6418,0.6584
phi3:3.8b-mini-128k-instruct-q8_0,0.6376,0.6542
phi4-mini,0.6584,0.6043
phi4-mini-reasoning,0.6876,0.7375
qwen2.5-coder:1.5b,0.5834,0.5542
qwen2.5-coder:1.5b-instruct-q8_0,0.6584,0.6085
qwen2.5-coder:3b,0.6751,0.6751
qwen2.5-coder:3b-instruct-q4_K_M,0.6751,0.6751
qwen2.5-coder:3b-instruct-q8_0,0.6918,0.6751
qwen2.5:0.5b,0.5,0.5167
qwen2.5:0.5b-instruct-q4_K_M,0.5,0.5167
qwen2.5:0.5b-instruct-q8_0,0.6459,0.6626
qwen2.5:1.5b,0.675,0.6417
qwen2.5:1.5b-instruct-q4_K_M,0.675,0.6417
qwen2.5:1.5b-instruct-q8_0,0.6918,0.725
qwen2.5:3b,0.7042,0.7334
qwen2.5:3b-instruct-q4_K_M,0.7042,0.7334
qwen2.5:3b-instruct-q8_0,0.7667,0.7334
qwen2.5:7b,0.7876,0.7876
qwen2:0.5b-instruct-q8_0,0.4958,0.5626
qwen2:1.5b,0.5918,0.5584
qwen2:1.5b-instruct-q8_0,0.5501,0.5334
qwen3:0.6b,0.5709,0.6167
qwen3:0.6b-fp16,0.6375,0.6042
qwen3:0.6b-q8_0,0.6917,0.6584
qwen3:1.7b,0.7708,0.7584
qwen3:1.7b-fp16,0.7292,0.7292
qwen3:1.7b-q8_0,0.7584,0.7584
qwen3:4b,0.7208,0.7333
qwen3:4b-instruct-2507-q4_K_M,0.8625,0.8625
qwen3:4b-instruct-2507-q8_0,0.8625,0.8625
qwen3:4b-q8_0,0.7917,0.8084
smollm2:1.7b,0.5668,0.5668
smollm2:1.7b-instruct-q8_0,0.5668,0.5668
smollm2:135m,0.5209,0.5376
smollm2:135m-instruct-q8_0,0.4626,0.4626
smollm2:360m,0.6667,0.6168
smollm2:360m-instruct-q8_0,0.4625,0.4958
smollm:1.7b,0.5751,0.5584
smollm:360m,0.5125,0.4958
stablelm2:1.6b,0.5626,0.5792
stablelm2:1.6b-chat,0.5626,0.5792
stablelm2:1.6b-zephyr,0.4708,0.4876
tinyllama:1.1b,0.496,0.446
tinyllama:1.1b-chat-v1-q8_0,0.5418,0.5418
