model,quality,ci_lo,ci_hi,det,rank
qwen3:4b-instruct-2507-q8_0,3.5900000000000007,3.1350000000000002,4.015000000000001,0.8790100000000001,1
qwen3:8b,3.5100000000000002,3.005,3.9850000000000003,0.8425100000000001,2
qwen3:4b-q8_0,3.4,3.03,3.7650000000000006,0.84683,3
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,3.38,2.935,3.81,0.81667,4
qwen3:4b-instruct-2507-q4_K_M,3.3600000000000003,2.95,3.75,0.88116,5
granite3.3:8b,3.2650000000000006,2.8299999999999996,3.6550000000000002,0.77634,6
gemma4:e2b-it-qat,3.185,2.775,3.6099999999999994,0.78067,7
exaone3.5:7.8b,3.14,2.69,3.5800000000000005,0.76899,8
qwen2.5:7b,3.08,2.6199999999999997,3.535,0.83267,9
hf.co/unsloth/Llama-3.1-8B-Instruct-GGUF:Q4_K_M,3.06,2.63,3.4899999999999998,0.79566,10
llama3.1:8b,3.0349999999999997,2.625,3.4199999999999995,0.79317,11
qwen3:4b-thinking-2507-q8_0,3.0349999999999997,2.725,3.345,0.80969,12
granite4:micro-h,3.0149999999999997,2.6100000000000003,3.405,0.7410100000000001,13
granite4.1:3b,2.98,2.535,3.3950000000000005,0.8101800000000001,14
gemma3:4b,2.9400000000000004,2.5100000000000002,3.38,0.75282,15
hf.co/tiiuae/Falcon-H1-3B-Instruct-GGUF:Q4_K_M,2.915,2.525,3.275,0.8371600000000001,16
aya-expanse:8b,2.8949999999999996,2.5149999999999997,3.2699999999999996,0.8105100000000001,17
gemma3:4b-it-q4_K_M,2.88,2.45,3.3,0.75282,18
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,2.875,2.484875,3.25,0.7903400000000002,19
cogito:8b,2.8749999999999996,2.4299999999999997,3.2951249999999987,0.7876799999999998,20
qwen3:4b-thinking-2507-q4_K_M,2.8649999999999998,2.5549999999999997,3.195,0.8278500000000001,21
gemma3n:e2b,2.835,2.4050000000000002,3.275,0.752,22
falcon3:7b,2.835,2.5300000000000002,3.1,0.7800100000000001,23
