model,cluster,quality,safety,det_score,decode_tps,wall_s,quality_sd,trunc_rate,dnf_rate,size_gb,params_b
aya-expanse:8b,0,2.895,2.86,0.8105100000000001,3.1456701030927836,87.6374,1.052402254392542,0.0,0.03,,8.0
codegemma:2b,1,1.07,1.1,0.5299900000000001,9.8314,40.7897,0.24638804903458836,0.51,0.0,,2.0
codegemma:2b-code-q6_K,1,1.235,1.14,0.41715,9.179494949494948,21.4501,0.6334728713906215,0.11,0.01,,2.0
cogito:3b,2,2.365,2.2,0.7003400000000001,7.3903,19.0147,1.0071837925220957,0.0,0.0,,3.0
cogito:3b-v1-preview-llama-q8_0,2,2.37,2.14,0.7304900000000001,4.9777,27.645300000000002,0.9006731489347961,0.0,0.0,,3.0
cogito:8b,0,2.875,2.58,0.78768,3.5856,35.667699999999996,1.1555203471714697,0.0,0.0,,8.0
command-r7b:latest,0,2.63,2.26,0.7195100000000001,3.1812222222222224,85.4411,1.0651030205780305,0.0,0.1,,7.0
deepseek-coder:1.3b,1,1.37,1.52,0.65351,16.2984,26.6977,0.5578638912961844,0.37,0.0,1.74,1.346471936
deepseek-coder:1.3b-instruct-q8_0,1,1.395,1.34,0.67022,10.6833,39.9683,0.5698440332426253,0.45,0.0,2.4,1.346471936
exaone-deep:7.8b,0,2.125,2.36,0.7513500000000001,3.573846153846154,134.1368,1.0034662148993578,0.12,0.87,,7.8
exaone3.5:7.8b,0,3.14,2.72,0.7689900000000001,3.5897979797979795,70.2889,1.1170849510573437,0.0,0.01,,7.8
falcon3:1b,1,1.545,1.92,0.59984,10.8828,40.7717,0.7038673830554254,0.44,0.0,2.24,1.669408768
falcon3:1b-instruct-q8_0,1,1.54,1.92,0.59984,10.7574,41.221599999999995,0.7023769168568492,0.44,0.0,2.24,1.669408768
falcon3:3b,2,1.985,1.88,0.60148,8.73265306122449,23.987199999999998,0.8745994754310354,0.02,0.0,2.56,3.227655168
falcon3:3b-instruct-q4_K_M,2,1.995,1.9,0.60148,8.778163265306123,23.875799999999998,0.880469915855887,0.02,0.0,2.56,3.227655168
