model,n_runs,quality,quality_sd,det_score,decode_tps,wall_s,energy_wh,wh_per_det_correct,j_per_output_token,mean_watts,trunc_rate,safety,quality_nonsafety,family,org,training_regime,tools_capable,thinking_capable,is_moe,quant,params_b,size_gb,bracket,is_reasoning,is_tools,arch_class,quality_per_wh,quality_per_gb,quality_per_bparam
aya-expanse:8b,100,2.895,1.0524022543925422,0.8105100000000001,3.1456701030927836,87.6374,0.22236650000000002,0.2743538019271817,3.1170446226929367,9.103,0.0,2.86,2.9066666666666667,aya,,,,,,,8.0,,4-5GB,False,False,,13.01904738348627,,0.361875
codegemma:2b,100,1.07,0.2463880490345883,0.5299900000000001,9.8314,40.7897,0.10250500000000001,0.19340930960961528,0.9903598937226592,8.901,0.51,1.1,1.06,codegemma,,,,,,,2.0,,2-3B,False,False,,10.438515194380761,,0.535
codegemma:2b-code-q6_K,100,1.235,0.6334728713906215,0.41715,9.179494949494948,21.4501,0.0531285,0.12736066163250628,1.2821787222631897,8.289,0.11,1.14,1.2666666666666666,codegemma,,,,,,q6_K,2.0,,2-3B,False,False,,23.245527353492005,,0.6175
cogito:3b,100,2.365,1.0071837925220957,0.7003400000000001,7.3903,19.0147,0.0465268,0.06643458891395608,1.3620922176140522,8.743,0.0,2.2,2.42,cogito,,,,,,,3.0,,3-4B,True,False,,50.830918954237134,,0.7883333333333334
cogito:3b-v1-preview-llama-q8_0,100,2.37,0.9006731489347959,0.7304900000000001,4.9777,27.645300000000002,0.0701172,0.09598652958972743,2.044233236151604,9.072000000000001,0.0,2.14,2.4466666666666668,cogito,,,,,,q8_0,3.0,,3-4B,True,False,,33.80055107733908,,0.79
cogito:8b,100,2.875,1.155520347171469,0.78768,3.5856,35.667699999999996,0.0910097,0.11554146353849279,2.9527299927901947,9.136999999999999,0.0,2.58,2.973333333333333,cogito,,,,,,,8.0,,4-5GB,True,False,,31.590039303502813,,0.359375
command-r7b:latest,100,2.63,1.06510302057803,0.7195100000000001,3.1812222222222224,85.4411,0.2194048,0.3049364150602493,3.6251940517716177,9.26,0.0,2.26,2.7533333333333334,command,,,,,,,7.0,,4-5GB,False,False,,11.986975672364505,,0.3757142857142857
deepseek-coder:1.3b,100,1.37,0.5578638912961845,0.65351,16.2984,26.6977,0.0654276,0.10011721320255237,0.5803606258469879,8.824,0.37,1.52,1.32,deepseek-coder,DeepSeek,code/math,False,False,False,Q4_0,1.0,1.74,1-2B,False,False,dense,20.939175516143035,0.7873563218390806,1.37
deepseek-coder:1.3b-instruct-q8_0,100,1.395,0.5698440332426253,0.67022,10.6833,39.9683,0.097566,0.14557309540150995,0.8648829134963434,8.785,0.45,1.34,1.4133333333333333,deepseek-coder,DeepSeek,code/math,False,False,False,Q8_0,1.0,2.4,1-2B,False,False,dense,14.298013652296907,0.58125,1.395
exaone-deep:7.8b,100,2.125,1.0034662148993578,0.7513500000000001,3.573846153846154,134.1368,0.34637929999999995,0.4610092500166367,2.6609877723480078,9.299,0.12,2.36,2.046666666666667,exaone,,,,,,,7.8,,4-5GB,True,False,,6.134893164805173,,0.27243589743589747
exaone3.5:7.8b,100,3.14,1.1170849510573437,0.7689900000000001,3.5897979797979795,70.2889,0.18174089999999998,0.2363371435259236,2.8317127894395155,9.304,0.0,2.72,3.28,exaone,,,,,,,7.8,,4-5GB,False,False,,17.277343734954545,,0.4025641025641026
falcon3:1b,100,1.545,0.7038673830554256,0.59984,10.8828,40.7717,0.0995422,0.16594791944518536,0.8765947162426614,8.539,0.44,1.92,1.42,falcon3,TII,instruct,False,False,False,Q8_0,1.7,2.24,1-2B,False,False,dense,15.521055391582665,0.6897321428571428,0.9088235294117647
falcon3:1b-instruct-q8_0,100,1.54,0.7023769168568492,0.59984,10.7574,41.221599999999995,0.09960649999999999,0.1660551146972526,0.8771609589041095,8.435,0.44,1.92,1.4133333333333333,falcon3,TII,instruct,False,False,False,Q8_0,1.7,2.24,1-2B,False,False,dense,15.460838399100462,0.6875,0.9058823529411765
falcon3:3b,100,1.985,0.8745994754310354,0.60148,8.73265306122449,23.987199999999998,0.058601600000000004,0.09742900844583362,1.1639490206896552,8.618,0.02,1.88,2.02,falcon3,TII,instruct,False,False,False,Q4_K_M,3.2,2.56,3-4B,False,False,dense,33.87279528204008,0.775390625,0.6203125
falcon3:3b-instruct-q4_K_M,100,1.995,0.880469915855887,0.60148,8.778163265306123,23.875799999999998,0.058018900000000005,0.09646023142914145,1.1523753931034484,8.558,0.02,1.9,2.026666666666667,falcon3,TII,instruct,False,False,False,Q4_K_M,3.2,2.56,3-4B,False,False,dense,34.385346843873286,0.779296875,0.6234375
falcon3:3b-instruct-q8_0,100,2.22,1.0306416555826872,0.6738599999999999,5.765670103092783,38.3906,0.09732469999999999,0.1444286647078028,1.7430422367046416,8.986,0.01,2.0,2.2933333333333334,falcon3,TII,instruct,False,False,False,Q8_0,3.2,3.99,3-4B,False,False,dense,22.81024241533753,0.556390977443609,0.69375
falcon3:7b,100,2.835,0.8820745748266162,0.7800100000000001,3.8102666666666662,96.76989999999999,0.249071,0.31931770105511464,2.603756424775677,9.24,0.03,2.3,3.013333333333333,falcon,,,,,,,7.0,,4-5GB,False,False,,11.382296614218436,,0.40499999999999997
gemma2:2b,100,2.385,0.9370461864580399,0.7217,8.3517,26.5913,0.06473620000000001,0.08969959817098518,1.3477349063150592,8.753,0.0,2.64,2.3,gemma2,Google,instruct,False,False,False,Q4_0,2.6,1.96,2-3B,False,False,dense,36.841828837651875,1.2168367346938775,0.9173076923076922
gemma2:2b-instruct-q4_K_M,100,2.54,0.9092121131323904,0.7413599999999999,7.997000000000001,25.108400000000003,0.0600019,0.08093490342074026,1.3786497319377076,8.607000000000001,0.0,2.72,2.48,,,,,,,,2.0,,,False,False,,42.33199282022736,,1.27
gemma2:2b-instruct-q8_0,100,2.445,0.94252776397228,0.68904,5.7332,34.3971,0.0859835,0.12478738534773018,1.9414237330657302,9.005,0.0,2.66,2.3733333333333335,gemma2,Google,instruct,False,False,False,Q8_0,2.6,3.11,2-3B,False,False,dense,28.43568824251164,0.7861736334405145,0.9403846153846153
gemma3:1b,100,1.855,0.8417604208209164,0.6156900000000001,13.8495,10.153500000000001,0.0230552,0.037446117364257986,0.9570885608856088,8.102,0.0,2.24,1.7266666666666666,gemma3,Google,instruct,False,False,False,Q4_K_M,999.89,0.95,0-1B,False,False,dense,80.45907213990769,1.9526315789473685,0.0018552040724479693
