model,trunc_pct,quality,safety,nonsafety,tools_capable,params_b,is_tools
qwen3:4b-instruct-2507-q8_0,0.0,3.59,3.66,3.566666666666667,True,4.022468096,True
qwen3:8b,0.0,3.51,3.08,3.6533333333333333,,8.0,
qwen3:4b-q8_0,0.0,3.4,3.02,3.526666666666667,False,4.022468096,False
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,0.0,3.38,3.08,3.48,False,4.022468096,False
qwen3:4b-instruct-2507-q4_K_M,1.0,3.36,3.1,3.4466666666666668,True,4.022468096,True
granite3.3:8b,0.0,3.265,2.82,3.4133333333333336,,8.0,
gemma4:e2b-it-qat,0.0,3.185,2.94,3.2666666666666666,,2.0,
exaone3.5:7.8b,0.0,3.14,2.72,3.28,,7.8,
qwen2.5:7b,0.0,3.08,2.84,3.16,True,7.615616512,True
hf.co/unsloth/Llama-3.1-8B-Instruct-GGUF:Q4_K_M,0.0,3.06,2.78,3.1533333333333333,,8.0,
llama3.1:8b,0.0,3.035,2.6,3.18,,8.0,
qwen3:4b-thinking-2507-q8_0,99.0,3.035,3.46,2.8933333333333335,,4.0,
granite4:micro-h,0.0,3.015,2.58,3.16,,,
granite4.1:3b,0.0,2.98,2.74,3.06,,3.0,
gemma3:4b,0.0,2.94,2.76,3.0,False,4.299915632,False
hf.co/tiiuae/Falcon-H1-3B-Instruct-GGUF:Q4_K_M,1.0,2.915,2.54,3.04,,3.0,
aya-expanse:8b,0.0,2.895,2.86,2.9066666666666667,,8.0,
gemma3:4b-it-q4_K_M,0.0,2.88,2.74,2.9266666666666667,False,4.299915632,False
cogito:8b,0.0,2.875,2.58,2.973333333333333,,8.0,
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,93.0,2.875,2.96,2.8466666666666667,False,4.022468096,False
qwen3:4b-thinking-2507-q4_K_M,100.0,2.865,3.04,2.8066666666666666,,4.0,
falcon3:7b,3.0,2.835,2.3,3.013333333333333,,7.0,
gemma3n:e2b,0.0,2.835,2.58,2.92,,2.0,
qwen3:1.7b-fp16,0.0,2.82,2.78,2.8333333333333335,True,2.031739904,True
ministral-3:3b,1.0,2.81,2.78,2.82,True,3.849090048,True
qwen3:4b,100.0,2.8,3.02,2.7266666666666666,True,4.022468096,True
gemma3:4b-it-q8_0,0.0,2.78,2.72,2.8,False,4.299915632,False
granite4:tiny-h,0.0,2.775,2.52,2.86,True,6.939037248,True
qwen3:1.7b-q8_0,0.0,2.75,2.58,2.8066666666666666,False,2.031739904,False
granite4:micro,0.0,2.72,2.66,2.74,True,3.40283648,True
gemma3:4b-it-qat,0.0,2.715,2.72,2.7133333333333334,False,4.300079472,False
qwen2.5:3b-instruct-q8_0,14.000000000000002,2.67,2.38,2.7666666666666666,False,3.085938688,False
qwen2.5-coder:3b-instruct-q8_0,2.0,2.66,2.66,2.66,False,3.085938688,False
hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,6.0,2.65,2.32,2.76,False,3.397103616,False
command-r7b:latest,0.0,2.63,2.26,2.7533333333333334,,7.0,
qwen3:1.7b,1.0,2.63,2.8,2.5733333333333333,True,2.031739904,True
granite3.1-dense:2b-instruct-q8_0,0.0,2.59,2.18,2.7266666666666666,True,2.533531648,True
phi3.5:3.8b-mini-instruct-q8_0,7.000000000000001,2.565,2.4,2.62,False,3.821079648,False
gemma2:2b-instruct-q4_K_M,0.0,2.54,2.72,2.48,,2.0,
granite3.2:2b-instruct-q4_K_M,11.0,2.535,2.1,2.68,False,2.533531648,False
internlm2:7b,1.0,2.525,2.32,2.5933333333333333,,7.0,
granite3.2:2b,11.0,2.52,2.14,2.6466666666666665,False,2.533531648,False
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q5_K_M,0.0,2.52,2.3,2.5933333333333333,,3.0,
qwen2.5:3b-instruct-q4_K_M,7.000000000000001,2.52,2.52,2.52,False,3.085938688,False
llama3.2:3b,0.0,2.515,2.44,2.54,True,3.212749888,True
olmo2:7b,0.0,2.515,2.22,2.6133333333333333,,7.0,
llama3.2:3b-instruct-q8_0,0.0,2.5,2.24,2.5866666666666664,False,3.212749888,False
hf.co/unsloth/Phi-4-mini-instruct-GGUF:Q4_K_M,3.0,2.49,2.18,2.5933333333333333,False,3.836021856,False
qwen2.5:3b,7.000000000000001,2.485,2.5,2.48,True,3.085938688,True
granite3.3:2b,0.0,2.475,2.16,2.58,False,2.53353984,False
smallthinker:3b-preview-q4_K_M,66.0,2.47,2.56,2.44,,3.0,
granite3.1-dense:2b,2.0,2.46,2.22,2.54,False,2.533531648,False
phi4-mini,2.0,2.46,2.32,2.506666666666667,True,3.836021856,True
phi4-mini-reasoning,92.0,2.46,2.34,2.5,False,3.836021856,False
qwen2.5-coder:3b-instruct-q4_K_M,4.0,2.45,2.48,2.44,False,3.085938688,False
gemma2:2b-instruct-q8_0,0.0,2.445,2.66,2.3733333333333335,False,2.614341888,False
llama3.2:3b-instruct-q4_K_M,0.0,2.435,2.34,2.466666666666667,,3.0,
qwen2.5-coder:3b,4.0,2.425,2.48,2.4066666666666667,False,3.085938688,False
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q6_K,0.0,2.42,2.24,2.48,,3.0,
phi3.5:3.8b,24.0,2.395,2.38,2.4,False,3.821079648,False
hf.co/tiiuae/Falcon-H1-1.5B-Deep-Instruct-GGUF:Q4_K_M,7.000000000000001,2.39,2.2,2.453333333333333,,1.5,
gemma2:2b,0.0,2.385,2.64,2.3,False,2.614341888,False
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:IQ4_XS,0.0,2.385,2.32,2.4066666666666667,,3.0,
cogito:3b-v1-preview-llama-q8_0,0.0,2.37,2.14,2.4466666666666668,,3.0,
cogito:3b,0.0,2.365,2.2,2.42,,3.0,
hf.co/tiiuae/Falcon-H1-1.5B-Deep-Instruct-GGUF:IQ4_XS,7.000000000000001,2.365,2.04,2.473333333333333,,1.5,
phi3:3.8b-mini-128k-instruct-q8_0,2.0,2.33,2.54,2.26,False,3.821079648,False
hf.co/openbmb/MiniCPM3-4B-GGUF:Q4_K_M,0.0,2.315,2.46,2.2666666666666666,,4.0,
mistral:7b-instruct-q4_K_M,3.0,2.31,2.24,2.3333333333333335,False,7.241732096,False
hf.co/ggml-org/SmolLM3-3B-GGUF:Q8_0,2.0,2.295,2.0,2.3933333333333335,,3.0,
qwen3.5:2b,10.0,2.28,2.32,2.2666666666666666,,2.0,
phi3:mini-4k,22.0,2.255,2.14,2.2933333333333334,,,
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q3_K_L,0.0,2.25,2.18,2.2733333333333334,,3.0,
hf.co/ggml-org/SmolLM3-3B-GGUF:Q4_K_M,7.000000000000001,2.245,2.12,2.2866666666666666,,3.0,
granite4:1b-h,0.0,2.235,2.36,2.1933333333333334,True,1.461538368,True
falcon3:3b-instruct-q8_0,1.0,2.22,2.0,2.2933333333333334,False,3.227655168,False
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q8_0,0.0,2.22,1.96,2.3066666666666666,,3.0,
phi3:mini,9.0,2.18,2.12,2.2,,,
phi3:mini-128k,9.0,2.16,2.12,2.1733333333333333,,,
exaone-deep:7.8b,12.0,2.125,2.36,2.046666666666667,,7.8,
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q4_K_M,0.0,2.11,1.84,2.2,,3.0,
phi3:3.8b,9.0,2.11,2.08,2.12,False,3.821079648,False
hf.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF:Q4_K_M,1.0,2.075,1.82,2.16,False,1.777088,False
qwen3:0.6b-q8_0,0.0,2.01,1.9,2.046666666666667,False,0.751632384,False
falcon3:3b-instruct-q4_K_M,2.0,1.995,1.9,2.026666666666667,False,3.227655168,False
gemma3:1b-it-qat,0.0,1.99,2.1,1.9533333333333334,False,0.999885952,False
falcon3:3b,2.0,1.985,1.88,2.02,False,3.227655168,False
qwen2.5:1.5b-instruct-q8_0,6.0,1.96,2.02,1.94,False,1.543714304,False
qwen2.5-coder:1.5b,4.0,1.955,2.04,1.9266666666666667,False,1.543714304,False
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q8_0,0.0,1.95,1.94,1.9533333333333334,,1.2,
qwen2.5-coder:1.5b-instruct-q8_0,7.000000000000001,1.92,1.94,1.9133333333333333,False,1.543714304,False
granite3.1-moe:3b,2.0,1.875,1.58,1.9733333333333334,False,3.298793472,False
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q4_K_M,0.0,1.86,1.78,1.8866666666666667,,1.2,
qwen3:0.6b-fp16,1.0,1.86,1.8,1.88,True,0.751632384,True
gemma3:1b,0.0,1.855,2.24,1.7266666666666666,False,0.999885952,False
qwen2.5:1.5b-instruct-q4_K_M,5.0,1.855,1.7,1.9066666666666667,False,1.543714304,False
smollm2:1.7b-instruct-q8_0,3.0,1.85,1.84,1.8533333333333333,False,1.711376384,False
qwen2.5:1.5b,5.0,1.845,1.74,1.88,True,1.543714304,True
smollm2:1.7b,3.0,1.835,1.78,1.8533333333333333,True,1.711376384,True
gemma:2b-instruct-q4_K_M,1.0,1.83,1.64,1.8933333333333333,,2.0,
gemma3:1b-it-q8_0,0.0,1.79,2.0,1.72,False,0.999885952,False
gemma:2b-instruct-q8_0,0.0,1.79,1.6,1.8533333333333333,False,2.50643456,False
gemma:2b,2.0,1.775,1.68,1.8066666666666666,False,2.50643456,False
qwen3:0.6b,1.0,1.775,1.84,1.7533333333333334,True,0.751632384,True
nemotron-mini:4b-instruct-q8_0,3.0,1.745,1.74,1.7466666666666666,False,4.190509056,False
qwen2:1.5b-instruct-q8_0,0.0,1.705,1.76,1.6866666666666668,False,1.543714304,False
hf.co/allenai/OLMo-2-0425-1B-Instruct-GGUF:Q4_K_M,10.0,1.695,1.7,1.6933333333333334,,1.0,
hf.co/tiiuae/Falcon-H1-0.5B-Instruct-GGUF:Q4_K_M,15.0,1.69,1.46,1.7666666666666666,,0.5,
nemotron-mini:4b-instruct-q4_K_M,2.0,1.665,1.84,1.6066666666666667,False,4.190509056,False
nemotron-mini:4b,2.0,1.66,1.76,1.6266666666666667,False,4.190509056,False
llama3.2:1b,0.0,1.645,1.46,1.7066666666666668,True,1.235814432,True
llama3.2:1b-instruct-q8_0,0.0,1.625,1.46,1.68,False,1.235814432,False
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,0.0,1.615,1.84,1.54,False,1.235814432,False
qwen2:1.5b,0.0,1.595,1.52,1.62,False,1.543714304,False
granite4:350m-h,0.0,1.59,1.66,1.5666666666666667,,,
yi-coder:1.5b,4.0,1.58,1.48,1.6133333333333333,,1.5,
qwen2.5-coder:0.5b,7.000000000000001,1.57,1.62,1.5533333333333332,,0.5,
falcon3:1b,44.0,1.545,1.92,1.42,False,1.669408768,False
falcon3:1b-instruct-q8_0,44.0,1.54,1.92,1.4133333333333333,False,1.669408768,False
opencoder:1.5b,2.0,1.535,1.22,1.64,,1.5,
llama3.2:1b-instruct-q4_K_M,1.0,1.53,1.58,1.5133333333333334,,1.0,
granite4:350m,0.0,1.525,1.38,1.5733333333333333,,,
granite4:350m-bf16,0.0,1.51,1.4,1.5466666666666666,,,
internlm2:1.8b,3.0,1.49,1.36,1.5333333333333334,False,1.889110016,False
stablelm2:1.6b-zephyr,5.0,1.415,1.24,1.4733333333333334,False,1.644515328,False
tinyllama:1.1b-chat-v1-q8_0,14.000000000000002,1.41,1.5,1.38,False,1.100048384,False
deepseek-coder:1.3b-instruct-q8_0,45.0,1.395,1.34,1.4133333333333333,False,1.346471936,False
hf.co/LiquidAI/LFM2-700M-GGUF:Q4_K_M,4.0,1.395,1.28,1.4333333333333333,,,
stablelm2:1.6b,4.0,1.385,1.38,1.3866666666666667,False,1.644515328,False
stablelm2:1.6b-chat,4.0,1.38,1.4,1.3733333333333333,False,1.644515328,False
deepseek-coder:1.3b,37.0,1.37,1.52,1.32,False,1.346471936,False
smollm2:360m,2.0,1.345,1.6,1.26,False,0.36182112,False
qwen2:0.5b-instruct-q8_0,2.0,1.34,1.42,1.3133333333333332,False,0.494032768,False
hf.co/LiquidAI/LFM2-350M-GGUF:Q4_K_M,0.0,1.325,1.24,1.3533333333333333,,,
qwen2.5:0.5b-instruct-q8_0,19.0,1.325,1.38,1.3066666666666666,False,0.494032768,False
tinyllama:1.1b,10.0,1.285,1.26,1.2933333333333332,False,1.100048384,False
gemma3:270m,0.0,1.28,1.28,1.28,,,
qwen2-math:1.5b,17.0,1.28,1.14,1.3266666666666667,,1.5,
qwen2.5:0.5b-instruct-q4_K_M,14.000000000000002,1.265,1.22,1.28,False,0.494032768,False
smollm2:360m-instruct-q8_0,6.0,1.265,1.5,1.1866666666666668,False,0.36182112,False
qwen2.5:0.5b,14.000000000000002,1.26,1.18,1.2866666666666666,True,0.494032768,True
gemma3:270m-it-qat,9.0,1.245,1.3,1.2266666666666666,,,
codegemma:2b-code-q6_K,11.0,1.235,1.14,1.2666666666666666,,2.0,
sailor2:1b,7.000000000000001,1.22,1.26,1.2066666666666668,,1.0,
smollm:1.7b,25.0,1.215,1.46,1.1333333333333333,False,1.711376384,False
starcoder2:3b-q6_K,59.0,1.105,1.18,1.08,,3.0,
smollm2:135m,5.0,1.095,1.14,1.08,False,0.134515008,False
smollm2:135m-instruct-q8_0,6.0,1.095,1.1,1.0933333333333333,False,0.134515008,False
codegemma:2b,51.0,1.07,1.1,1.06,,2.0,
smollm:360m,30.0,1.065,1.26,1.0,False,0.36182112,False
starcoder2:3b-q8_0,51.0,1.055,1.0,1.0733333333333333,,3.0,
starcoder2:3b,56.99999999999999,1.02,1.02,1.02,,3.0,
