model,n_runs,quality,quality_sd,det_score,decode_tps,wall_s,energy_wh,wh_per_det_correct,j_per_output_token,mean_watts,trunc_rate,safety,quality_nonsafety,family,org,training_regime,tools_capable,thinking_capable,is_moe,quant,params_b,size_gb,bracket,is_reasoning,is_tools,arch_class,quality_per_wh,quality_per_gb,quality_per_bparam,tps_per_gb,resid
deepseek-coder:1.3b,100,1.37,0.5578638912961845,0.65351,16.2984,26.6977,0.0654276,0.10011721320255237,0.5803606258469879,8.824,0.37,1.52,1.32,deepseek-coder,DeepSeek,code/math,False,False,False,Q4_0,1.0,1.74,1-2B,False,False,dense,20.939175516143035,0.7873563218390806,1.37,9.366896551724139,0.39096562987638084
deepseek-coder:1.3b-instruct-q8_0,100,1.395,0.5698440332426253,0.67022,10.6833,39.9683,0.097566,0.14557309540150995,0.8648829134963434,8.785,0.45,1.34,1.4133333333333333,deepseek-coder,DeepSeek,code/math,False,False,False,Q8_0,1.0,2.4,1-2B,False,False,dense,14.298013652296907,0.58125,1.395,4.451375,0.23752055173367959
falcon3:1b,100,1.545,0.7038673830554256,0.59984,10.8828,40.7717,0.0995422,0.16594791944518536,0.8765947162426614,8.539,0.44,1.92,1.42,falcon3,TII,instruct,False,False,False,Q8_0,1.7,2.24,1-2B,False,False,dense,15.521055391582665,0.6897321428571428,0.9088235294117647,4.8583928571428565,0.19832366309267124
falcon3:1b-instruct-q8_0,100,1.54,0.7023769168568492,0.59984,10.7574,41.221599999999995,0.09960649999999999,0.1660551146972526,0.8771609589041095,8.435,0.44,1.92,1.4133333333333333,falcon3,TII,instruct,False,False,False,Q8_0,1.7,2.24,1-2B,False,False,dense,15.460838399100462,0.6875,0.9058823529411765,4.802410714285714,0.18673399168058546
falcon3:3b,100,1.985,0.8745994754310354,0.60148,8.73265306122449,23.987199999999998,0.058601600000000004,0.09742900844583362,1.1639490206896552,8.618,0.02,1.88,2.02,falcon3,TII,instruct,False,False,False,Q4_K_M,3.2,2.56,3-4B,False,False,dense,33.87279528204008,0.775390625,0.6203125,3.411192602040816,0.0898815086846807
falcon3:3b-instruct-q4_K_M,100,1.995,0.880469915855887,0.60148,8.778163265306123,23.875799999999998,0.058018900000000005,0.09646023142914145,1.1523753931034484,8.558,0.02,1.9,2.026666666666667,falcon3,TII,instruct,False,False,False,Q4_K_M,3.2,2.56,3-4B,False,False,dense,34.385346843873286,0.779296875,0.6234375,3.4289700255102042,0.09507947383974313
falcon3:3b-instruct-q8_0,100,2.22,1.0306416555826872,0.6738599999999999,5.765670103092783,38.3906,0.09732469999999999,0.1444286647078028,1.7430422367046416,8.986,0.01,2.0,2.2933333333333334,falcon3,TII,instruct,False,False,False,Q8_0,3.2,3.99,3-4B,False,False,dense,22.81024241533753,0.556390977443609,0.69375,1.4450301010257602,0.045869797073775365
gemma2:2b,100,2.385,0.9370461864580399,0.7217,8.3517,26.5913,0.06473620000000001,0.08969959817098518,1.3477349063150592,8.753,0.0,2.64,2.3,gemma2,Google,instruct,False,False,False,Q4_0,2.6,1.96,2-3B,False,False,dense,36.841828837651875,1.2168367346938775,0.9173076923076922,4.261071428571428,-0.17806696875103345
gemma2:2b-instruct-q8_0,100,2.445,0.94252776397228,0.68904,5.7332,34.3971,0.0859835,0.12478738534773018,1.9414237330657302,9.005,0.0,2.66,2.3733333333333335,gemma2,Google,instruct,False,False,False,Q8_0,2.6,3.11,2-3B,False,False,dense,28.43568824251164,0.7861736334405145,0.9403846153846153,1.8434726688102896,-0.1681571398964974
gemma3:1b,100,1.855,0.8417604208209164,0.6156900000000001,13.8495,10.153500000000001,0.0230552,0.037446117364257986,0.9570885608856088,8.102,0.0,2.24,1.7266666666666666,gemma3,Google,instruct,False,False,False,Q4_K_M,999.89,0.95,0-1B,False,False,dense,80.45907213990769,1.9526315789473685,0.0018552040724479693,14.57842105263158,-0.2779623315706927
