maker,n,quality,safety,energy,best_q,best_model
Cohere,2,2.7625,2.5599999999999996,0.22088565000000002,2.895,aya-expanse:8b
LG,2,2.6325000000000003,2.54,0.26406009999999996,3.14,exaone3.5:7.8b
DeepCogito,2,2.62,2.39,0.06876825,2.875,cogito:8b
Mistral AI,2,2.56,2.51,0.14819225,2.81,ministral-3:3b
ShanghaiAILab,1,2.525,2.32,0.2759291,2.525,internlm2:7b
IBM,15,2.4046666666666665,2.1666666666666665,0.07347435333333333,3.265,granite3.3:8b
Meta/deriv,11,2.394090909090909,2.2072727272727275,0.0756515,3.06,hf.co/unsloth/Llama-3.1-8B-Instruct-GGUF:Q4_K_M
Alibaba/Qwen,39,2.341025641025641,2.29948717948718,0.10194850769230769,3.59,qwen3:4b-instruct-2507-q8_0
Microsoft,10,2.3405,2.262,0.14550585,2.565,phi3.5:3.8b-mini-instruct-q8_0
OpenBMB,1,2.315,2.46,0.0784251,2.315,hf.co/openbmb/MiniCPM3-4B-GGUF:Q4_K_M
HuggingFace,2,2.27,2.06,0.1242943,2.295,hf.co/ggml-org/SmolLM3-3B-GGUF:Q8_0
TII,10,2.148,2.016,0.10200548000000001,2.915,hf.co/tiiuae/Falcon-H1-3B-Instruct-GGUF:Q4_K_M
Google,19,2.135,2.1347368421052635,0.05304455789473685,3.185,gemma4:e2b-it-qat
AllenAI,2,2.105,1.96,0.1279898,2.515,olmo2:7b
Meta,5,1.98,1.8880000000000003,0.04113952,2.515,llama3.2:3b
NVIDIA,3,1.6900000000000002,1.78,0.08207983333333334,1.745,nemotron-mini:4b-instruct-q8_0
LiquidAI,4,1.6325,1.56,0.02065665,1.95,hf.co/LiquidAI/LFM2-1.2B-GGUF:Q8_0
01.AI,1,1.58,1.48,0.053132,1.58,yi-coder:1.5b
OpenCoder,1,1.535,1.22,0.0743624,1.535,opencoder:1.5b
Shanghai AI Lab,1,1.49,1.36,0.030893099999999996,1.49,internlm2:1.8b
Stability AI,3,1.3933333333333333,1.3399999999999999,0.053040533333333334,1.415,stablelm2:1.6b-zephyr
DeepSeek,2,1.3825,1.4300000000000002,0.08149680000000001,1.395,deepseek-coder:1.3b-instruct-q8_0
TinyLlama (community),2,1.3475,1.38,0.04903645,1.41,tinyllama:1.1b-chat-v1-q8_0
Hugging Face,8,1.345625,1.46,0.031755825,1.85,smollm2:1.7b-instruct-q8_0
SeaAILab,1,1.22,1.26,0.056498999999999994,1.22,sailor2:1b
BigCode,3,1.0599999999999998,1.0666666666666667,0.17590136666666667,1.105,starcoder2:3b-q6_K
