base,hi_q,q4_q,dq,d_safety,gb_x,tps_x,wh_x
falcon3:3b-instruct,2.22,1.995,-0.2250000000000001,-0.10000000000000009,0.6416040100250626,1.5224879516775331,0.5961374656176697
gemma2:2b-instruct,2.445,2.54,0.0950000000000002,0.06000000000000005,,1.3948580199539526,0.6978303976925805
gemma3:4b-it,2.78,2.88,0.10000000000000009,0.020000000000000018,0.6419213973799126,1.4518158421504148,0.7420529384524954
gemma:2b-instruct,1.79,1.83,0.040000000000000036,0.039999999999999813,,1.3743929156899695,0.7279382524131449
LFM2-1.2B-GGUF,1.95,1.86,-0.08999999999999986,-0.15999999999999992,,1.4230110326869048,0.6120213392681809
Hermes-3-Llama-3.2-3B-GGUF,2.22,2.11,-0.11000000000000032,-0.11999999999999988,,1.5045705327877195,0.7758610433044865
SmolLM3-3B-GGUF,2.295,2.245,-0.04999999999999982,0.1200000000000001,,1.4450629297493562,0.7975553283400559
llama3.2:1b-instruct,1.625,1.53,-0.09499999999999997,0.1200000000000001,,1.389492631151974,0.854736921709867
llama3.2:3b-instruct,2.5,2.435,-0.06499999999999995,0.09999999999999964,,1.4307932184656682,0.6699239375827947
nemotron-mini:4b-instruct,1.745,1.665,-0.08000000000000007,0.10000000000000009,0.6317991631799162,1.4039041184877223,0.6126454907804599
qwen2.5-coder:3b-instruct,2.66,2.45,-0.20999999999999996,-0.18000000000000016,0.6243093922651933,1.4784761592343165,0.5967276603965652
qwen2.5:0.5b-instruct,1.325,1.265,-0.06000000000000005,-0.15999999999999992,0.7910447761194029,1.0676644227116139,0.9321731526016614
qwen2.5:1.5b-instruct,1.96,1.855,-0.10499999999999998,-0.32000000000000006,0.6544502617801048,1.4046104011824767,0.6855115360482221
qwen2.5:3b-instruct,2.67,2.52,-0.1499999999999999,0.14000000000000012,0.6243093922651933,1.5032744708221262,0.6127437499674334
qwen3:4b-instruct-2507,3.59,3.36,-0.22999999999999998,-0.56,0.6509803921568628,1.4949888074888076,0.6790833551911412
qwen3:4b-thinking-2507,3.035,2.865,-0.16999999999999993,-0.41999999999999993,,1.4395130898342658,0.6761389828205276
