model,action_safety,content_recall,det_score,quality,med_tokens,complete,log_tok
aya-expanse:8b,1.0,0.69,0.71004,2.895,256.0,0.97,5.54907608489522
codegemma:2b,0.9333333333333333,0.22,0.38328,1.07,500.0,1.0,6.2166061010848646
codegemma:2b-code-q6_K,1.0,0.19666666666666666,0.37992000000000004,1.235,53.5,0.99,3.9982007016691985
cogito:3b,0.9333333333333333,0.5333333333333333,0.56668,2.365,119.5,1.0,4.791649752930709
cogito:3b-v1-preview-llama-q8_0,0.9333333333333333,0.58,0.58328,2.37,118.0,1.0,4.77912349311153
cogito:8b,1.0,0.66,0.6900400000000001,2.875,108.0,1.0,4.6913478822291435
command-r7b:latest,0.9333333333333333,0.5466666666666666,0.59336,2.63,227.0,0.9,5.429345628954441
deepseek-coder:1.3b,0.9333333333333333,0.54,0.58672,1.37,421.5,1.0,6.046189446797229
deepseek-coder:1.3b-instruct-q8_0,1.0,0.5433333333333333,0.62012,1.395,440.0,1.0,6.089044875446846
exaone-deep:7.8b,0.6666666666666666,0.64,0.59332,2.125,467.5,0.13,6.149536101678477
exaone3.5:7.8b,1.0,0.6166666666666667,0.6299600000000001,3.14,210.0,0.99,5.351858133476067
falcon3:1b,0.8,0.5666666666666667,0.59336,1.545,500.0,1.0,6.2166061010848646
falcon3:1b-instruct-q8_0,0.8,0.5666666666666667,0.59336,1.54,500.0,1.0,6.2166061010848646
falcon3:3b,1.0,0.44666666666666666,0.51332,1.985,118.5,1.0,4.783316371371566
falcon3:3b-instruct-q4_K_M,1.0,0.44666666666666666,0.51332,1.995,118.5,1.0,4.783316371371566
falcon3:3b-instruct-q8_0,1.0,0.41666666666666663,0.5468,2.22,163.5,1.0,5.1029105702054265
falcon3:7b,1.0,0.5733333333333334,0.60336,2.835,367.5,0.75,5.909440711629391
gemma2:2b,1.0,0.5733333333333333,0.64676,2.385,164.5,1.0,5.1089711948171175
gemma2:2b-instruct-q4_K_M,1.0,0.66,0.7167600000000001,2.54,160.0,1.0,5.081404364984463
gemma2:2b-instruct-q8_0,1.0,0.5433333333333333,0.63012,2.445,152.0,1.0,5.030437921392435
gemma3:1b,1.0,0.5166666666666666,0.6200399999999999,1.855,74.0,1.0,4.31748811353631
gemma3:1b-it-q8_0,1.0,0.49333333333333335,0.58336,1.79,77.0,1.0,4.356708826689592
gemma3:1b-it-qat,0.9333333333333333,0.5466666666666666,0.6134000000000001,1.99,74.0,1.0,4.31748811353631
gemma3:270m,0.9333333333333333,0.29,0.43335999999999997,1.28,51.0,1.0,3.9512437185814275
gemma3:270m-it-qat,0.9333333333333333,0.37333333333333335,0.48676,1.245,56.0,1.0,4.04305126783455
gemma3:4b,1.0,0.7166666666666667,0.7166,2.94,79.5,1.0,4.388257184424518
gemma3:4b-it-q4_K_M,1.0,0.7166666666666667,0.7166,2.88,79.5,1.0,4.388257184424518
gemma3:4b-it-q8_0,1.0,0.6066666666666667,0.7068000000000001,2.78,81.0,1.0,4.406719247264253
gemma3:4b-it-qat,1.0,0.6266666666666666,0.71344,2.715,93.0,1.0,4.543294782270004
gemma3n:e2b,1.0,0.6,0.6099600000000001,2.835,177.0,1.0,5.181783550292085
gemma4:e2b-it-qat,1.0,0.5766666666666667,0.61668,3.185,131.5,1.0,4.886582645426277
gemma:2b,1.0,0.48666666666666664,0.52664,1.775,121.5,1.0,4.808111029984782
gemma:2b-instruct-q4_K_M,1.0,0.4633333333333334,0.51664,1.83,114.0,1.0,4.74493212836325
gemma:2b-instruct-q8_0,1.0,0.39333333333333337,0.47672,1.79,121.0,1.0,4.804021044733257
granite3.1-dense:2b,1.0,0.6333333333333333,0.6800400000000001,2.46,257.0,1.0,5.552959584921617
granite3.1-dense:2b-instruct-q8_0,1.0,0.5733333333333333,0.60668,2.59,232.5,1.0,5.453182077108952
granite3.1-moe:3b,1.0,0.48666666666666664,0.55008,1.875,232.0,1.0,5.4510384535657
granite3.2:2b,1.0,0.65,0.6700400000000001,2.52,387.0,1.0,5.961005339623274
granite3.2:2b-instruct-q4_K_M,1.0,0.65,0.6700400000000001,2.535,387.0,1.0,5.961005339623274
granite3.3:2b,1.0,0.63,0.66336,2.475,250.0,1.0,5.5254529391317835
granite3.3:8b,1.0,0.54,0.59336,3.265,233.0,0.86,5.455321115357702
granite4.1:3b,1.0,0.6566666666666667,0.6900400000000001,2.98,174.5,1.0,5.167639042905921
granite4:1b-h,1.0,0.48666666666666664,0.56008,2.235,74.5,1.0,4.324132656254979
granite4:350m,0.8666666666666667,0.45333333333333337,0.54,1.525,86.0,1.0,4.465908118654584
granite4:350m-bf16,0.8666666666666667,0.45333333333333337,0.54,1.51,86.0,1.0,4.465908118654584
granite4:350m-h,0.9333333333333333,0.41333333333333333,0.51668,1.59,81.0,1.0,4.406719247264253
granite4:micro,0.9333333333333333,0.6833333333333332,0.6800400000000001,2.72,192.0,1.0,5.262690188904886
granite4:micro-h,1.0,0.5766666666666667,0.62336,3.015,155.5,1.0,5.0530560099802075
granite4:tiny-h,1.0,0.6166666666666667,0.63668,2.775,282.5,1.0,5.647212123167807
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q4_K_M,1.0,0.5833333333333334,0.65676,1.86,123.0,1.0,4.820281565605037
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q8_0,1.0,0.59,0.66676,1.95,128.0,1.0,4.859812404361672
hf.co/LiquidAI/LFM2-350M-GGUF:Q4_K_M,1.0,0.5533333333333333,0.59332,1.325,221.5,1.0,5.404927101606295
hf.co/LiquidAI/LFM2-700M-GGUF:Q4_K_M,0.8,0.35,0.41,1.395,227.5,1.0,5.43153621033426
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q4_K_M,1.0,0.5266666666666666,0.57,2.11,209.5,1.0,5.349485653122436
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q8_0,0.8666666666666667,0.5733333333333334,0.57336,2.22,164.5,1.0,5.1089711948171175
hf.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF:Q4_K_M,1.0,0.55,0.58,2.075,170.5,1.0,5.144583266605995
hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,0.9333333333333333,0.66,0.67,2.65,260.0,1.0,5.564520407322694
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,0.8,0.69,0.64664,2.875,512.0,0.99,6.240275845170769
hf.co/allenai/OLMo-2-0425-1B-Instruct-GGUF:Q4_K_M,1.0,0.64,0.67008,1.695,454.0,1.0,6.12029741895095
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:IQ4_XS,0.9333333333333333,0.5866666666666667,0.6066400000000001,2.385,144.5,1.0,4.980176086611547
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q3_K_L,1.0,0.6266666666666666,0.63996,2.25,155.0,1.0,5.049856007249537
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q5_K_M,1.0,0.6266666666666666,0.6533599999999999,2.52,166.5,1.0,5.120983351265121
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q6_K,1.0,0.65,0.6533200000000001,2.42,159.5,1.0,5.07829394257007
hf.co/ggml-org/SmolLM3-3B-GGUF:Q4_K_M,0.8666666666666667,0.57,0.60332,2.245,318.0,1.0,5.765191102784844
hf.co/ggml-org/SmolLM3-3B-GGUF:Q8_0,1.0,0.5733333333333333,0.61332,2.295,269.0,1.0,5.598421958998375
hf.co/openbmb/MiniCPM3-4B-GGUF:Q4_K_M,1.0,0.5633333333333334,0.59332,2.315,110.0,0.99,4.709530201312334
hf.co/tiiuae/Falcon-H1-0.5B-Instruct-GGUF:Q4_K_M,0.9333333333333333,0.5466666666666666,0.56668,1.69,396.5,1.0,5.985194934094387
hf.co/tiiuae/Falcon-H1-1.5B-Deep-Instruct-GGUF:IQ4_XS,1.0,0.67,0.67336,2.365,337.5,1.0,5.82452409235233
hf.co/tiiuae/Falcon-H1-1.5B-Deep-Instruct-GGUF:Q4_K_M,1.0,0.69,0.69336,2.39,366.0,1.0,5.905361848054571
hf.co/tiiuae/Falcon-H1-3B-Instruct-GGUF:Q4_K_M,1.0,0.6966666666666668,0.69664,2.915,284.0,1.0,5.652489180268651
hf.co/unsloth/Llama-3.1-8B-Instruct-GGUF:Q4_K_M,1.0,0.7066666666666667,0.7199599999999999,3.06,138.0,1.0,4.9344739331306915
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,1.0,0.56,0.60336,1.615,103.0,1.0,4.6443908991413725
hf.co/unsloth/Phi-4-mini-instruct-GGUF:Q4_K_M,1.0,0.55,0.58668,2.49,197.5,1.0,5.290789100127245
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,0.9333333333333333,0.6366666666666666,0.65668,3.38,199.5,1.0,5.300814246746624
internlm2:1.8b,0.9333333333333333,0.36,0.45328,1.49,124.0,1.0,4.8283137373023015
internlm2:7b,1.0,0.61,0.6834,2.525,395.0,0.76,5.981414211254481
llama3.1:8b,1.0,0.6566666666666667,0.6866800000000001,3.035,132.0,1.0,4.890349128221754
llama3.2:1b,1.0,0.43,0.50004,1.645,104.5,1.0,4.658710952916121
llama3.2:1b-instruct-q4_K_M,1.0,0.42333333333333334,0.5000800000000001,1.53,126.0,1.0,4.844187086458591
llama3.2:1b-instruct-q8_0,1.0,0.43,0.50004,1.625,104.5,1.0,4.658710952916121
llama3.2:3b,1.0,0.5966666666666667,0.6433599999999999,2.515,140.5,1.0,4.952299717083292
llama3.2:3b-instruct-q4_K_M,1.0,0.5966666666666667,0.6433599999999999,2.435,140.5,1.0,4.952299717083292
llama3.2:3b-instruct-q8_0,0.9333333333333333,0.58,0.5966400000000001,2.5,142.5,1.0,4.966335035199676
ministral-3:3b,1.0,0.7866666666666667,0.7733199999999999,2.81,232.5,1.0,5.453182077108952
mistral:7b-instruct-q4_K_M,1.0,0.5633333333333334,0.5833200000000001,2.31,226.5,1.0,5.427150238391005
nemotron-mini:4b,0.8666666666666667,0.55,0.58996,1.66,112.5,1.0,4.7318028369214575
nemotron-mini:4b-instruct-q4_K_M,0.8666666666666667,0.55,0.58996,1.665,112.5,1.0,4.7318028369214575
nemotron-mini:4b-instruct-q8_0,0.8,0.53,0.5833200000000001,1.745,158.5,1.0,5.072043922224899
olmo2:7b,1.0,0.6833333333333332,0.69664,2.515,275.5,0.91,5.6222108209623896
opencoder:1.5b,0.8666666666666667,0.5466666666666666,0.5700400000000001,1.535,255.0,1.0,5.545177444479562
