cls,n_scen,difficulty,discrim
detect,1,1.4355263157894735,0.3894992361122575
expand,1,1.7078947368421054,0.5030405979152416
upgrade,1,1.9190789473684209,0.6113424109244434
secure,4,1.9493421052631579,0.6506639063908648
new,6,2.194517543859649,0.7920451908623184
toolcall,1,2.2072368421052633,1.2862029941692057
foresee,2,2.2144736842105264,0.6904932879259851
monitor,1,2.3157894736842106,0.8593163202026415
guard,1,2.514473684210526,0.9768450292771229
test,1,2.526315789473684,0.9145430474883651
localize,1,2.717763157894737,1.021303022645157
