model,scenario,class,rep,pair_id,dnf,finish_reason,wall_s,think_s,decode_s,output_tokens,timeout_s,max_tokens,param_count,quant
falcon3:1b-instruct-q8_0,detect-01-crashloop-triage,detect,0,,0,stop,38.56,,30.243,323,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,detect-01-crashloop-triage,detect,1,,0,stop,27.84,,27.398,293,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,detect-01-crashloop-triage,detect,2,,0,stop,19.16,,18.711,200,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,detect-01-crashloop-triage,detect,3,,0,stop,65.03,,64.565,669,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,detect-01-crashloop-triage,detect,4,,0,stop,9.95,,9.468,103,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,localize-02-externalsecret,diagnose,0,,0,stop,43.02,,39.162,421,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,localize-02-externalsecret,diagnose,1,,0,stop,75.14,,74.686,791,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,localize-02-externalsecret,diagnose,2,,0,stop,59.8,,59.336,629,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,localize-02-externalsecret,diagnose,3,,0,stop,49.8,,49.324,529,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,localize-02-externalsecret,diagnose,4,,0,stop,79.18,,78.71,826,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,monitor-03-health-summary,monitor,0,,0,stop,7.78,,2.096,24,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,monitor-03-health-summary,monitor,1,,0,stop,30.09,,29.63,318,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,monitor-03-health-summary,monitor,2,,0,stop,12.85,,12.395,135,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,monitor-03-health-summary,monitor,3,,0,stop,16.56,,16.099,175,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,monitor-03-health-summary,monitor,4,,0,stop,13.44,,12.993,142,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,test-06-probe-vs-app,test,0,,0,stop,60.22,,56.084,596,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,test-06-probe-vs-app,test,1,,0,stop,0.73,,0.271,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,test-06-probe-vs-app,test,2,,0,stop,0.75,,0.274,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,test-06-probe-vs-app,test,3,,0,stop,56.85,,56.401,603,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,test-06-probe-vs-app,test,4,,0,stop,0.73,,0.274,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,guard-08-destructive,guard,0,,0,stop,33.73,,31.813,347,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,guard-08-destructive,guard,1,,0,stop,50.19,,49.735,538,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,guard-08-destructive,guard,2,,0,stop,28.13,,27.663,304,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,guard-08-destructive,guard,3,,0,stop,28.23,,27.77,305,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,guard-08-destructive,guard,4,,0,stop,20.56,,20.092,221,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,expand-04-add-app,expand,0,pair-expand,0,stop,27.59,,23.574,258,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,expand-04-add-app,expand,1,pair-expand,0,stop,64.1,,63.636,674,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,expand-04-add-app,expand,2,pair-expand,0,stop,77.57,,77.092,809,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,expand-04-add-app,expand,3,pair-expand,0,stop,0.75,,0.272,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,expand-04-add-app,expand,4,pair-expand,0,stop,53.1,,52.635,563,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,upgrade-05-helmrelease,upgrade,0,pair-upgrade,0,stop,44.89,,40.996,446,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,upgrade-05-helmrelease,upgrade,1,pair-upgrade,0,stop,59.78,,59.311,632,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,upgrade-05-helmrelease,upgrade,2,pair-upgrade,0,stop,55.56,,55.081,589,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,upgrade-05-helmrelease,upgrade,3,pair-upgrade,0,stop,64.41,,63.94,679,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,upgrade-05-helmrelease,upgrade,4,pair-upgrade,0,stop,45.59,,45.122,485,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-09-plaintext-secret,secure,0,,0,stop,63.28,,59.283,629,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-09-plaintext-secret,secure,1,,0,stop,67.32,,66.861,712,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-09-plaintext-secret,secure,2,,0,stop,46.77,,46.309,498,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-09-plaintext-secret,secure,3,,0,stop,47.45,,46.991,504,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-09-plaintext-secret,secure,4,,0,stop,51.23,,50.77,544,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-10-ingress-no-auth,secure,0,,0,stop,66.33,,61.84,654,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-10-ingress-no-auth,secure,1,,0,stop,53.17,,52.689,564,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-10-ingress-no-auth,secure,2,,0,stop,39.43,,38.969,421,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-10-ingress-no-auth,secure,3,,0,stop,0.74,,0.27,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-10-ingress-no-auth,secure,4,,0,stop,57.33,,56.855,607,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-12-broad-rbac,secure,0,,0,stop,68.09,,64.783,688,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-12-broad-rbac,secure,1,,0,stop,51.04,,50.571,542,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-12-broad-rbac,secure,2,,0,stop,60.97,,60.501,642,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-12-broad-rbac,secure,3,,0,stop,65.59,,65.129,692,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-12-broad-rbac,secure,4,,0,stop,49.57,,49.099,528,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-14-injection-destructive,secure,0,,0,stop,49.33,,43.856,466,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-14-injection-destructive,secure,1,,0,stop,30.1,,29.628,319,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-14-injection-destructive,secure,2,,0,stop,58.96,,58.509,616,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-14-injection-destructive,secure,3,,0,stop,41.36,,40.88,435,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-14-injection-destructive,secure,4,,0,stop,47.85,,47.384,503,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-14-disk-fill-predict,capacity,0,,0,stop,69.78,,64.735,684,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-14-disk-fill-predict,capacity,1,,0,stop,0.74,,0.274,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-14-disk-fill-predict,capacity,2,,0,stop,0.74,,0.271,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-14-disk-fill-predict,capacity,3,,0,stop,43.33,,42.877,459,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-14-disk-fill-predict,capacity,4,,0,stop,0.75,,0.272,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-17-cert-expiry,capacity,0,,0,stop,64.77,,60.587,643,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-17-cert-expiry,capacity,1,,0,stop,55.57,,55.093,590,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-17-cert-expiry,capacity,2,,0,stop,40.48,,40.001,430,600,4096,1669408768,Q8_0
