model,mode,param_b,n,complete%,wilson95,dnf%,dnf_reason,medTok,medWall_s,wall_hit%
qwen3:4b-thinking-2507-q8_0,thinking,4.02,100,34,[25-44],66,DNF:timeout,1866,600,67
qwen3:4b,thinking,4.02,100,43,[34-53],57,DNF:timeout,2278,600,57
qwen3:4b-thinking-2507-q4_K_M,thinking,4.02,100,43,[34-53],57,DNF:timeout,2277,600,57
starcoder2:3b-q6_K,base,3.03,100,59,[49-68],41,DNF:timeout,1163,204,41
exaone-deep:7.8b,thinking,7.82,100,64,[54-73],36,DNF:timeout,1440,472,36
phi4-mini-reasoning,thinking,3.84,100,89,[81-94],11,DNF:timeout,1078,237,11
codegemma:2b,base,2.51,100,100,[96-100],0,-,596,62,0
exaone3.5:7.8b,base,7.82,100,100,[96-100],0,-,210,70,0
falcon3:1b-instruct-q8_0,instruct,1.67,100,100,[96-100],0,-,528,50,0
phi4-mini,base,3.84,100,100,[96-100],0,-,186,34,0
qwen2.5:3b-instruct-q4_K_M,instruct,3.09,100,100,[96-100],0,-,312,43,0
qwen3:4b-instruct-2507-q4_K_M,instruct,4.02,100,100,[96-100],0,-,225,41,0
qwen3:4b-instruct-2507-q8_0,instruct,4.02,100,100,[96-100],0,-,226,60,0
smallthinker:3b-preview-q4_K_M,thinking,3.4,100,100,[96-100],0,-,606,84,0
